"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"db6ef4e3-5974-46c0-b35b-957d489298db","Book10.xml","Ὑάμπολιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::340;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::348","PLACE","http://dare.ht.lu.se/places/23112","Hyampolis, Hyampolis|Hyampolis","-0550/0300","38.596346","22.905228","settlement","VERIFIED","built|polis","","",""
"4e9c1118-93b8-4b36-8b6b-55f299690754","Book10.xml","Ἄβας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::353;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::357","PLACE","http://dare.ht.lu.se/places/23113","Abai, Abai|Abai","-0750/0300","38.58006","22.9154","settlement","VERIFIED","built","","",""
"a69f809b-f05c-4430-b615-0b353c51cfcb","Book10.xml","Ὀποῦντα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::370;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::377","PLACE","http://dare.ht.lu.se/places/23120","Opous, Atalanti|Opous","-0750/0640","38.653678","22.999964","settlement","VERIFIED","built|polis","","",""
"0d7c083a-7f5e-4ab3-b7d0-68047aafd2be","Book10.xml","Ὀπουντίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::382;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::391","PLACE","http://dare.ht.lu.se/places/23120","Opous, Atalanti|Opous","-0750/0640","38.653678","22.999964","settlement","VERIFIED","historical|Opuntians|proxy","","",""
"981c84f3-4a3a-44af-81d9-a61553672671","Book10.xml","Κῦνον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::411;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::416","PLACE","http://dare.ht.lu.se/places/29389","Kynos, Pyrgos/Livanates|Kynos","-0750/0640","38.7234","23.0622","settlement","VERIFIED","built|epineion","naval station of the Opuntians","",""
"75ffd03e-573b-4472-882e-f60397f95768","Book10.xml","Φωκεῦσίν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::19;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::27","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"1a53fd61-d021-44dc-9987-763bb4977bd6","Book10.xml","πολέμου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::44;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::51","EVENT","","","","","","","","Q42937","Trojan War","",""
"0dbb4b30-6c7a-44a1-8dbb-2b878997d7be","Book10.xml","Ἰλίῳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::65;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::69","PLACE","http://dare.ht.lu.se/places/21153","Ilium/Troia, Hisarlık|Ilium/Troia","-0750/2100","39.9577","26.23873","settlement","VERIFIED","built|battlefield","","",""
"8aca6849-28a6-46df-9a89-b6299eebfee2","Book10.xml","Θεσσαλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::87;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::95","PLACE","http://pleiades.stoa.org/places/1332","Thessalia","","39.6","22.2","region","VERIFIED","regional|Thessalians|proxy","","",""
"8b8c36e3-9cc6-4561-9b53-233500dd0c89","Book10.xml","ἐλάσαι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::130;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::136","","","","","","","","","Q1122337|tx:480-479 BCE","Persian invasion","",""
