"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"be449ee8-33d8-42db-b668-19d61245152d","34.4-38.7","πέτραν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::189;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::195","PLACE","","","","","","","NOT_IDENTIFIABLE","physical|petra|Theseus|Paus","Rock of Theseus, same as altar of Zeus Sthenios","",""
"d1afc524-16b5-4de4-bcbc-31eb20f75eed","34.4-38.7","ὁδόν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::211;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::215","PLACE","","","","","","","NOT_IDENTIFIABLE","built|hodos|Paus","Mountain road from Troezen to Hermione, by way of Theseus' rock","",""
"8b74033c-fe3c-45f5-877b-f698fa339c41","34.4-38.7","Ἀπόλλωνος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::226;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::235","PERSON","","","","","","","","Q37340|Platanistios","","",""
"5ed855ee-bfdd-4c70-a7b6-5b4333be7fe5","34.4-38.7","Πλατανιστίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::246;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::258","","","","","","","","","epiklêsis|Platanistios|Q124258106","","",""
"21f5ea43-66ca-401c-82a2-a6d31f6cb492","34.4-38.7","ναός","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::259;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::263","PLACE","","","","","","","NOT_IDENTIFIABLE","built|naos|Apollo Platanistios|Paus","Temple of Apollo Platanistios, on the road from Troizen to Hermione","",""
"163c597d-67a4-423c-b8c0-472a0b0e4b07","34.4-38.7","Εἰλεοὶ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::273;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::279","PLACE","http://pleiades.stoa.org/places/570207","Eileoi, Iliokastro?|Eileoi","-0750/0300","37.442072","23.26405","settlement","VERIFIED","built|chōrion|Paus","","",""
"f6ac8063-e918-408a-9ba7-e08c0a83316c","34.4-38.7","Δήμητρος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::299;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::307","PERSON","","","","","","","","Q40730","","",""
"48a2e8d0-f17e-466f-ae25-be1d31f19d5c","34.4-38.7","Δήμητρος καὶ Κόρης τῆς Δήμητρος ἱερά","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::299;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::335","PLACE","","","","","","","NOT_IDENTIFIABLE","built|hieron|Demeter and Kore|Paus","Sanctuaries of Demeter and Kore at Eileioi","",""
"6a91f41d-c026-4294-a5de-9fe34423391d","34.4-38.7","Κόρης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::312;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::317","PERSON","","","","","","","","Q45967","","",""
"ac69b920-2e89-492b-9c96-9ab2288f99aa","34.4-38.7","Δήμητρος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::322;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::330","PERSON","","","","","","","","Q40730","","",""
"b17e7835-6bb5-49d6-b5d5-dc0e156d1ecd","34.4-38.7","θάλασσαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::348;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::356","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","physical|thalassa|Paus","","",""
"c723685a-a2d4-41d8-b2fa-51c9900f029f","34.4-38.7","ὅροις τῆς Ἑρμιονίδος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::360;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::380","PLACE","","","","","","","NOT_IDENTIFIABLE","physical|horos|Paus","The borders of Hermione seawards","",""
"07c26b8d-103a-47b0-af99-6c1376e3e725","34.4-38.7","Ἑρμιονίδος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::370;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::380","PLACE","http://pleiades.stoa.org/places/570292","Hermione/Hermion, Ermione|Hermion(e)","-0750/0300","37.385218","23.243591","settlement,port","VERIFIED","built|settlement|Paus","","",""
"179e96f5-8d9f-4217-98b3-798735d3f06e","34.4-38.7","ἱερὸν Δήμητρός","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::381;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::395","PLACE","","","","","","","NOT_IDENTIFIABLE","built|hieron|Demeter Thermasia|Paus","Sanctuary of Demeter Thermasia on border of Hermione seawards","",""
"3af87fd8-ca24-48c2-bf9e-1704af8ec8e1","34.4-38.7","Δήμητρός","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::387;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::395","PERSON","","","","","","","","Q40730|Thermasia","","",""
"89cc1a3f-14e8-4696-b672-c644bcbdab17","34.4-38.7","Θερμασίας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::412;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::421","","","","","","","","","epiklêsis|Demeter|Thermasia|Q107271157","","",""
"87d81644-7fac-4bf9-84cd-1413837d403e","34.4-38.7","σταδίους δὲ ὀγδοήκοντα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::22","","","","","","","","","distance|80|stades","","",""
"4102a20c-6960-4954-89e3-e140ebfe6066","34.4-38.7","Σκυλλαῖον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::43;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::52","PLACE","http://pleiades.stoa.org/places/570679","Skyllaion Pr., Cape Spathi|Skyllaion (promontory)","-0030/0300","37.435","23.523","cape","VERIFIED","physical|akra|Paus","","",""
"82e650d8-de33-4ba0-b75f-4304284ce07b","34.4-38.7","Νίσου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::61;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::66","PERSON","","","","","","","","Q1136201","","",""
"c057920a-7247-4b80-ada8-cb1d6de5d2bb","34.4-38.7","θυγατρός","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::77;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::85","PERSON","","","","","","","","Q1415180","Skylla","",""
"b0e28302-84aa-432d-a9fb-743f12a60388","34.4-38.7","Νίσαιαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::101;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::108","PLACE","http://pleiades.stoa.org/places/570508","Nisaia, Nisaia|Beletsi|Varnavas|Aphidna, Kotroni, Afidnes|Leipsydrion, Leipsydrion|Korynos|Melainai, Melainai|Panakton/Panaktos, Kavasala|Hysiai, Hysiai|Pagai, Alepochori|Mazi|Hysiai|Melainai|Nisaia|Pagai|Aphidna|Beletsi|Korynos|Mazi|Panakton|Leipsydrion|Varnava","-0750/0640","37.974359","23.362766","unlocated,port,fort,church,settlement","VERIFIED","built|settlement","","",""
"1f3a1c22-0f95-46ae-8de1-277caa0906b4","34.4-38.7","Μίνως","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::111;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::116","PERSON","","","","","","","","Q23168","","",""
"1c9c0218-e92f-4c46-8d42-79ff1b42e3b8","34.4-38.7","Μέγαρα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::124;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::130","PLACE","http://topostext.org/place/380233PMeg","Megara (Attica)","","37.997","23.34285","","VERIFIED","built|settlement","","",""
"27c74e5f-04c5-4939-805b-c828c0482f15","34.4-38.7","γυναῖκα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::161;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::168","PERSON","","","","","","","","Q1136201","","",""
"26559de7-e956-412e-991c-fdb03cb4f4f4","34.4-38.7","Κρησὶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::211;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::217","PLACE","http://pleiades.stoa.org/places/589748","Creta (island)","-0750/2100","35.21984439173344","24.995769971494504","island","VERIFIED","historical|Cretans|proxy","","",""
"bb43670d-a745-4a55-9330-c40f28779e73","34.4-38.7","ἄκραν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::270;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::275","PLACE","http://pleiades.stoa.org/places/570679","Skyllaion Pr., Cape Spathi|Skyllaion (promontory)","-0030/0300","37.435","23.523","cape","VERIFIED","physical|akra","","",""
"4f7162af-706e-4633-817f-1fe77cfb0c11","34.4-38.7","ὀρνίθων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::392;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::399","PERSON","","","","","","","","animal|Q55808","sea birds that ate Skylla the daughter of Nisus","",""
"e43ae936-a55a-4f18-9f9b-9f704180b274","34.4-38.7","Σκυλλαίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::7;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::16","PLACE","http://pleiades.stoa.org/places/570679","Skyllaion Pr., Cape Spathi|Skyllaion (promontory)","-0030/0300","37.435","23.523","cape","VERIFIED","physical|akra|Paus","","",""
"20aaa4aa-4968-489a-9ddd-78138ab4e342","34.4-38.7","πλέοντι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::17;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::24","","","","","","","","","travel mode","","",""
"ba37a7fa-fafa-4736-a5a7-3d61674d7c34","34.4-38.7","πόλιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::36;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::41","PLACE","http://pleiades.stoa.org/places/570292","Hermione/Hermion, Ermione|Hermion(e)","-0750/0300","37.385218","23.243591","settlement,port","VERIFIED","built|polis","","",""
"8229f8a7-ce60-4758-ab46-0a970873ca49","34.4-38.7","Βουκέφαλα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::62;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::71","PLACE","http://topostext.org/place/373233LBou","Boukephala? cape (Korinthia)","","37.354","23.07","","VERIFIED","physical|akra|Paus","","",""
"688e1110-3503-477c-b3d4-821188cce6e8","34.4-38.7","ἄκραν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::85;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::90","PLACE","http://pleiades.stoa.org/places/570679","Skyllaion Pr., Cape Spathi|Skyllaion (promontory)","-0030/0300","37.435","23.523","cape","VERIFIED","physical|akra|Paus","","",""
"a0d50433-2ed7-4226-b1c3-c021222051c4","34.4-38.7","Ἁλιοῦσσα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::108;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::116","PLACE","http://pleiades.stoa.org/places/573242","Halioussa","","","","island","VERIFIED","physical|nēsos|Paus","","",""
"b2c33106-a2bf-46ee-8c6b-2a7e98129022","34.4-38.7","λιμένα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::135;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::141","PLACE","","","","","","","NOT_IDENTIFIABLE","built|limēn|Paus","Harbor on Halioussa island between Skyllaion and Hermione","",""
"24eea71c-8b20-4dc5-b5d4-f9829706dbc9","34.4-38.7","Πιτυοῦσσα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::183;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::192","PLACE","http://topostext.org/place/373233IPit","Pityoussa (Spetses)","","37.263","23.159","","VERIFIED","physical|nēsos|Paus","","",""
"581e4e6f-5f90-465a-80b1-707eafd405b3","34.4-38.7","Ἀριστερὰν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::206;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::215","PLACE","http://pleiades.stoa.org/places/570108","Aristera Ins., Spetsopoula|Aristera Ins.","","37.2149748","23.1782393","island","VERIFIED","physical|nēsos|Paus","","",""
"0770882e-03b0-4e37-b7ff-a933ab3c9059","34.4-38.7","Κωλυεργία","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::269;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::278","PLACE","http://pleiades.stoa.org/places/570369","Kolyergia Pr., Cape Miliaros|Kolyergia Pr.","","37.29085","23.20032","cape","VERIFIED","physical|akra|Paus","","",""
