person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q87986289,Agathocles of Athens,άνδρας,eponymous archon 357-356 BCE,άνθρωπος,,,,,,,,,http://www.wikidata.org/entity/Q6581097,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q2634988,Agelaus,άνδρας,mythical son of Stymphalus,πρόσωπο της ελληνικής μυθολογίας,,Στύμφαλος,,,,http://www.wikidata.org/entity/Q775176,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q392412,Agelus,άνδρας,son of Poseidon in Greek mythology,πρόσωπο της ελληνικής μυθολογίας,,Ποσειδώνας,,,https://en.wikipedia.org/wiki/Agelus,http://www.wikidata.org/entity/Q41127,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043530,Agemachos statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q90776918,Agenor son of Areus,άνδρας,mythical father of Preugenes,πρόσωπο της ελληνικής μυθολογίας,,Areus son of Ampyx,,,,http://www.wikidata.org/entity/Q643575,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043457,Agenor statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q107043520,Agesarchos statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q126935018,Agetor of Arcadia,άνδρας,Olympic athlete accused on taking a bribe in 98th Olympiad,άνθρωπος,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043504,Agiadas statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q62058060,Agnitas,,epithet of Asclepius in Sparta,επίκληση,,,,,,,,,,
http://www.wikidata.org/entity/Q1339921,Agonius,,Ancient Greek divine epithet,επίκληση,,,,,https://en.wikipedia.org/wiki/Agonius,,,,,
http://www.wikidata.org/entity/Q1339921,Agonius,,Ancient Greek divine epithet,Roman deity,,,,,https://en.wikipedia.org/wiki/Agonius,,,,,
http://www.wikidata.org/entity/Q1339921,Agonius,,Ancient Greek divine epithet,προσωποποίηση,,,,,https://en.wikipedia.org/wiki/Agonius,,,,,
http://www.wikidata.org/entity/Q124644548,Agora in Piraeus for those near the shore,,ancient place in Attica attested by Pausanias (1.1.3),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124606121,Agora of Aigion,,Ancient civil/religious center in Achaia attested by Pausanias,Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124606122,Agora of Boiai,,Ancient civil/religious center in Lakonia attested by Pausanias (3.22.13),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124606123,Agora of Geronthrai,,Ancient civil/religious center in Lakonia attested by Pausanias (3.22.7),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124606124,Agora of Gythion,,Ancient civil/religious center in Lakonia attested by Pausanias (3.21.8),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124644662,Agora of Megara,,ancient place in Attica attested by Pausanias (1.43.8),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124606125,Agora of Oitylos,,Ancient civil/religious center in Lakonia attested by Pausanias (3.25.10),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124606126,Agora of Pyrrichos,,Ancient civil/religious center in Lakonia attested by Pausanias (3.25.3),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124644582,Agora of Salamis,,ancient place in Attica attested by Pausanias (1.35.3),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q124606127,Agora of Sparta,,Ancient civil/religious center of ancient Sparta attested by Pausanias (3.11.2),Αγορά,,,,,,,,,,
http://www.wikidata.org/entity/Q4693579,Agoraea,,"Divine epithet of various Greek gods, of the public square (agora)",επίκληση,,,,,https://en.wikipedia.org/wiki/Agoraea,,,,,
http://www.wikidata.org/entity/Q21548133,Agoraea,,"AGORAEA , æ , ein Beynamen der Diana , die ihren besondern Altar zu Elis hatte. Pausan. Eliac. prior. c. 15 .",επίκληση,,,,,,,,,,
http://www.wikidata.org/entity/Q21548139,Agoraeus,,divine epithet of Hermes,επίκληση,,,,,,,,,,
http://www.wikidata.org/entity/Q21548136,Agoraeus,,divine epithet of Zeus,επίκληση,,,,,,,,,,
http://www.wikidata.org/entity/Q107550752,Agrolas,άνδρας,legendary Greek builder,άνθρωπος που μπορεί να είναι φανταστικός,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q4057107,Agrolas and Hyperbius,,mythical builders of Pelasgian wall of Athens,couple of mythological Greek characters,,,,,,,,,,
http://www.wikidata.org/entity/Q105728121,Agyieus the Hyperborean,άνδρας,mythical figure at Delphi,πρόσωπο της ελληνικής μυθολογίας,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043555,Aischines statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q124644649,Aisymnion heroic tomb in Megara,,ancient place in Attica attested by Pausanias (1.43.3),τάφος,,,,,,,,,,
http://www.wikidata.org/entity/Q125947741,Ake,,ancient place in Arcadia associated with curing Orestes,place,,,,,,,,,,
http://www.wikidata.org/entity/Q40889183,Alcenor,άνδρας,one of two Argives who survived the Battle of the Champions ca 546 BCE,άνθρωπος,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q122981539,Alcidocus,άνδρας,"son of Scopius, killed by Oxylus in Greek mythology",πρόσωπο της ελληνικής μυθολογίας,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q2832178,Alcimus,άνδρας,ancient Greek rhetorician and historian,άνθρωπος,-0400-01-01T00:00:00Z,,,Σικελία,https://en.wikipedia.org/wiki/Alcimus_(rhetorician),,,http://www.wikidata.org/entity/Q1460,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q2647446,Alcinoe,γυναίκα,"mythological Greek character, daughter of Polybus",πρόσωπο της ελληνικής μυθολογίας,,Polybus of Corinth,,,https://en.wikipedia.org/wiki/Alcino%C3%AB_of_Corinth,http://www.wikidata.org/entity/Q31954,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q106873557,Alcis of Thebes,γυναίκα,"daughter of Antipoenus in Greek myth, self-sacrificial heroine",πρόσωπο της ελληνικής μυθολογίας,,Αντίποινος,,,,http://www.wikidata.org/entity/Q106873511,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q1337820,Alcmaeon,άνδρας,mythical son of Sillus,πρόσωπο της ελληνικής μυθολογίας,,Σίλλος,,,,http://www.wikidata.org/entity/Q3483917,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q115769195,Alcyonian Lake,,deep lake in Greece near Lerna reported by Pausanias,λίμνη,,,,,,,,,,
http://www.wikidata.org/entity/Q1857789,Alea,,epithet of Athena and Hera,επίκληση,,,,,,,,,,
http://www.wikidata.org/entity/Q107043610,Alexibios statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q106323527,Aleximachus of Phocis,άνδρας,"young Phocian fighter against the Gauls, 279 BCE",άνθρωπος,-0278-01-01T00:00:00Z,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043618,Alexinikos statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q124616416,Aliteion in Sparta,,Ancient place in Lakonia attested by Pausanias (3.18.2),οικισμός,,,,,,,,,,
http://www.wikidata.org/entity/Q107043464,"Alkainetos, Hellanikos, Theantos statues at Olympia",,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q124644628,Alkathoos acropolis of Megara,,ancient place in Attica attested by Pausanias (1.42.1),ακρόπολη,,,,,,,,,,
http://www.wikidata.org/entity/Q124644631,Alkathoos wall in Megara,,ancient place in Attica attested by Pausanias (1.42.1),οχυρωματικό τείχος,,,,,,,,,,
http://www.wikidata.org/entity/Q107043485,Alketos statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
http://www.wikidata.org/entity/Q107043640,Alkibiades statue at Heraion of Samos,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,κλασική αρχαιότητα
