Wikidata,PersonInWikidata,PersonInPausanias,Description,Entity,Wikipedia,FatherLabel,FatherURL,MotherLabel,MotherURL
http://www.wikidata.org/entity/Q171876,Antinoüs,Ἀντίνους,"lover of Roman emperor Hadrian",human,https://en.wikipedia.org/wiki/Antinous,,,,
http://www.wikidata.org/entity/Q579000,"Antinous son of Eupeithes",,"mythical suitor of Penelope in the Odyssey","mythological Greek character",https://en.wikipedia.org/wiki/Antinous_of_Ithaca,Eupeithes,http://www.wikidata.org/entity/Q13233212,,
http://www.wikidata.org/entity/Q55287298,Antioche,,,"mythological Greek character",,,,,
http://www.wikidata.org/entity/Q105733355,Antiochianus,,"ancient historian",human,,,,,
http://www.wikidata.org/entity/Q13415436,Antiochis,,"ancient Athenian phyle",Phyle,https://en.wikipedia.org/wiki/Antiochis_(tribe),,,,
http://www.wikidata.org/entity/Q451051,Antiochis,,"daughter of Antiochus the Great",human,https://en.wikipedia.org/wiki/Antiochis_(daughter_of_Antiochus_the_Great),"Antiochus III the Great",http://www.wikidata.org/entity/Q3365,"Laodice III",http://www.wikidata.org/entity/Q237642
http://www.wikidata.org/entity/Q468775,Antiochis,,"sister of Antiochus III",human,,"Seleucus II Callinicus",http://www.wikidata.org/entity/Q3373,"Laodice II",http://www.wikidata.org/entity/Q269950
http://www.wikidata.org/entity/Q1122084,Antiochus,,"Roman politician, pretorian prefect",human,,,,,
http://www.wikidata.org/entity/Q116036875,Antiochus,,"philosophe antique",human,,,,,
http://www.wikidata.org/entity/Q17416446,Antiochus,,"mythological Greek character, son of Pterelaus","mythological Greek character",,Pterelaus,http://www.wikidata.org/entity/Q1424817,,
http://www.wikidata.org/entity/Q21768379,Antiochus,,"mythological Greek character, son of Aigyptos","mythological Greek character",,Aegyptus,http://www.wikidata.org/entity/Q404844,,
http://www.wikidata.org/entity/Q3618730,Antiochus,Ἀντίοχον,"Athenian naval general",human,https://en.wikipedia.org/wiki/Antiochus_(admiral),,,,
http://www.wikidata.org/entity/Q4067043,Antiochus,Ἀντιόχου,"son of the Messenian king Phintas",human,,Phyntas,http://www.wikidata.org/entity/Q3559805,,
http://www.wikidata.org/entity/Q4067044,Antiochus,Ἀντιόχου,"mythological Greek character, son of Heracles","mythological Greek character",,Heracles,http://www.wikidata.org/entity/Q122248,Meda,http://www.wikidata.org/entity/Q44420027
http://www.wikidata.org/entity/Q55287297,Antiochus,,"mythological Greek character, son of Melas","mythological Greek character",,Melas,http://www.wikidata.org/entity/Q1109958,,
http://www.wikidata.org/entity/Q579540,Antiochus,,"Greek coroplast",human,,,,,
http://www.wikidata.org/entity/Q579596,Antiochus,Ἀντιόχου,"Ancient Macedonian general",human,https://en.wikipedia.org/wiki/Antiochus_(father_of_Seleucus_I_Nicator),,,,
http://www.wikidata.org/entity/Q67390501,Antiochus,,"ancient Greek mythographer",human,,,,,
http://www.wikidata.org/entity/Q76716324,Antiochus,,"Ancient Greek epigrammatic poet",human,,,,,
http://www.wikidata.org/entity/Q76727752,Antiochus,,"ancient Greek historian","human whose existence is disputed",,,,,
http://www.wikidata.org/entity/Q355917,"Antiochus Hierax",,"Seleucid ruler",human,https://en.wikipedia.org/wiki/Antiochus_Hierax,"Antiochus II Theos",http://www.wikidata.org/entity/Q222930,"Laodice I",http://www.wikidata.org/entity/Q237156
http://www.wikidata.org/entity/Q211488,"Antiochus I Soter",Ἀντιόχου,"King of the Seleucid Empire",human,https://en.wikipedia.org/wiki/Antiochus_I_Soter,"Seleucus I Nicator",http://www.wikidata.org/entity/Q184176,Apama,http://www.wikidata.org/entity/Q237626
http://www.wikidata.org/entity/Q2457060,"Antiochus II of Commagene",,"king of Commagene",human,https://en.wikipedia.org/wiki/Antiochus_II_of_Commagene,"Antiochus I Theos of Commagene",http://www.wikidata.org/entity/Q462768,Isias,http://www.wikidata.org/entity/Q2495012
http://www.wikidata.org/entity/Q222930,"Antiochus II Theos",,"Seleucid ruler",human,https://en.wikipedia.org/wiki/Antiochus_II_Theos,"Antiochus I Soter",http://www.wikidata.org/entity/Q211488,"Stratonice of Syria",http://www.wikidata.org/entity/Q235061
http://www.wikidata.org/entity/Q3365,"Antiochus III the Great",Ἀντιόχου,"6th ruler of the Seleucid Empire (r. 222-187 BC)",human,https://en.wikipedia.org/wiki/Antiochus_III_the_Great,"Seleucus II Callinicus",http://www.wikidata.org/entity/Q3373,"Laodice II",http://www.wikidata.org/entity/Q269950
http://www.wikidata.org/entity/Q3356,"Antiochus IV Epiphanes",,"king of the Seleucid Empire (175–164 BC)",human,https://en.wikipedia.org/wiki/Antiochus_IV_Epiphanes,"Antiochus III the Great",http://www.wikidata.org/entity/Q3365,"Laodice III",http://www.wikidata.org/entity/Q237642
http://www.wikidata.org/entity/Q296446,"Antiochus IX Cyzicenus",,"ruler of the Hellenistic Seleucid kingdom",human,https://en.wikipedia.org/wiki/Antiochus_IX_Cyzicenus,"Antiochus VII Sidetes",http://www.wikidata.org/entity/Q294945,"Cleopatra Thea",http://www.wikidata.org/entity/Q231682
http://www.wikidata.org/entity/Q11906127,"Antiochus of Alexandria",,"Greek writer",human,https://en.wikipedia.org/wiki/Antiochus_of_Alexandria,,,,
http://www.wikidata.org/entity/Q19997826,"Antiochus of Arcadia",Ἀντιόχου,"ancient Greek olympian",human,https://en.wikipedia.org/wiki/Antiochus_of_Arcadia,,,,
http://www.wikidata.org/entity/Q320042,"Antiochus of Ascalon",,"ancient Greek philosopher",human,https://en.wikipedia.org/wiki/Antiochus_of_Ascalon,,,,
http://www.wikidata.org/entity/Q220753,"Antiochus of Athens",,"ancient Greek astrologer",human,https://en.wikipedia.org/wiki/Antiochus_of_Athens,,,,
http://www.wikidata.org/entity/Q16167541,"Antiochus of Laodicea",,"ancient Greek philosopher",human,,,,,
http://www.wikidata.org/entity/Q91121899,"Antiochus of Phocis",Ἀντίοχος,"leader against the Gauls in 279 BCE",human,,,,,
http://www.wikidata.org/entity/Q580706,"Antiochus of Sulcis",,"Christian martyr",human,https://en.wikipedia.org/wiki/Antiochus_of_Sulcis,,,,
http://www.wikidata.org/entity/Q580661,"Antiochus of Syracuse",Ἀντίοχος,"ancient Greek historian",human,https://en.wikipedia.org/wiki/Antiochus_of_Syracuse,,,,
