Wikidata,PersonInWikidata,PersonInPausanias,Description,Entity,Wikipedia,FatherLabel,FatherURL,MotherLabel,MotherURL
http://www.wikidata.org/entity/Q3564602,Andropompus,Ἀνδροπόμπου,"Greek mythology character, father of King Melanthus","mythological Greek character",https://en.wikipedia.org/wiki/Andropompus,Penthilus,http://www.wikidata.org/entity/Q2069420,Anchiroe,http://www.wikidata.org/entity/Q22965379
http://www.wikidata.org/entity/Q3616362,Andros,,"son of Anios in Greek mythology","king in Greek mythology",,Anius,http://www.wikidata.org/entity/Q374275,Dorippa,http://www.wikidata.org/entity/Q43349849
http://www.wikidata.org/entity/Q3616362,Andros,,"son of Anios in Greek mythology","king in Greek mythology",,Eurymachus,http://www.wikidata.org/entity/Q1378499,Dorippa,http://www.wikidata.org/entity/Q43349849
http://www.wikidata.org/entity/Q3616362,Andros,,"son of Anios in Greek mythology","mythological Greek character",,Anius,http://www.wikidata.org/entity/Q374275,Dorippa,http://www.wikidata.org/entity/Q43349849
http://www.wikidata.org/entity/Q3616362,Andros,,"son of Anios in Greek mythology","mythological Greek character",,Eurymachus,http://www.wikidata.org/entity/Q1378499,Dorippa,http://www.wikidata.org/entity/Q43349849
http://www.wikidata.org/entity/Q15619611,Androsthenes,Ἀνδροσθένης,"Ancient Greek sculptor",human,,,,,
http://www.wikidata.org/entity/Q15480247,"Androsthenes of Corinth",,"Greek general who fought the Romans",human,https://en.wikipedia.org/wiki/Androsthenes_of_Corinth,,,,
http://www.wikidata.org/entity/Q4759543,"Androsthenes of Cyzicus",,"Greek from the city of Cyzicus in Asia Minor",human,https://en.wikipedia.org/wiki/Androsthenes_of_Cyzicus,,,,
http://www.wikidata.org/entity/Q12762328,"Androsthenes of Maenalus",Ἀνδροσθένης,"Olympic pankration champion in 420 BCE",human,,,,,
http://www.wikidata.org/entity/Q324140,"Androsthenes of Thasos",,"admiral of Alexander the Great",human,https://en.wikipedia.org/wiki/Androsthenes_of_Thasos,,,,
http://www.wikidata.org/entity/Q4759547,"Androsthenes of Thessaly",,"ancient Rome politician",human,https://en.wikipedia.org/wiki/Androsthenes_of_Thessaly,,,,
http://www.wikidata.org/entity/Q106521700,Androthoe,,,"mythological Greek character",https://en.wikipedia.org/wiki/Androthoe,,,,
http://www.wikidata.org/entity/Q11905582,Androtion,Ἀνδροτίωνι,"Attidographer, often identified with the homonym orator",human,https://en.wikipedia.org/wiki/Androtion_(historian),,,,
http://www.wikidata.org/entity/Q19606383,Androtion,,"ancient writer on farming",human,https://en.wikipedia.org/wiki/Androtion_(writer),,,,
http://www.wikidata.org/entity/Q514262,Androtion,Ἀνδροτίων,"4th-century BC Athenian orator",human,https://en.wikipedia.org/wiki/Androtion,,,,
http://www.wikidata.org/entity/Q21548642,Anemotis,,"epithet of Athena in Mothone, Messenia",epithet,https://en.wikipedia.org/wiki/Anemotis,,,,
http://www.wikidata.org/entity/Q11905590,Aneristus,,"5th c. BCE Spartan general and diplomat",human,https://en.wikipedia.org/wiki/Aneristus,,,,
http://www.wikidata.org/entity/Q107349749,Anesidora,"Δήμητρος Ἀνησιδώρας","epithet of Demeter",epithet,,,,,
http://www.wikidata.org/entity/Q120490819,Angeleuas,,"Greek historian",human,,,,,
http://www.wikidata.org/entity/Q4762641,Angelia,,"daughter of Hermes","allegorical Greek deity",https://en.wikipedia.org/wiki/Angelia,Hermes,http://www.wikidata.org/entity/Q41484,,
http://www.wikidata.org/entity/Q4762641,Angelia,,"daughter of Hermes","Greek deity",https://en.wikipedia.org/wiki/Angelia,Hermes,http://www.wikidata.org/entity/Q41484,,
http://www.wikidata.org/entity/Q3616838,Angelion,Ἀγγελίων,"ancient Greek sculptor, with Tectaeus",human,,,,,
http://www.wikidata.org/entity/Q538339,Angerona,,"Roman goddess",goddess,https://en.wikipedia.org/wiki/Angerona,,,,
http://www.wikidata.org/entity/Q538339,Angerona,,"Roman goddess","Roman deity",https://en.wikipedia.org/wiki/Angerona,,,,
http://www.wikidata.org/entity/Q12748376,Ania,,"a demon of sorrow in Greek mythology","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q382012,"Anianus of Alexandria",,"1st century Patriarch of Alexandria",human,https://en.wikipedia.org/wiki/Pope_Anianus_of_Alexandria,,,,
http://www.wikidata.org/entity/Q3617449,Anicetus,,"son of Heracles in Greek mythology","mythological Greek character",,Heracles,http://www.wikidata.org/entity/Q122248,Hebe,http://www.wikidata.org/entity/Q131125
http://www.wikidata.org/entity/Q1154373,"Anicia Faltonia Proba",,"5th-century Roman noblewoman",human,https://en.wikipedia.org/wiki/Anicia_Faltonia_Proba,"Quintus Clodius Hermogenianus Olybrius",http://www.wikidata.org/entity/Q1148526,"Tirrania Anicia Juliana",http://www.wikidata.org/entity/Q12296367
http://www.wikidata.org/entity/Q260033,"Anicia Juliana",,"Eastern Roman imperial princess (462–527/528)",human,https://en.wikipedia.org/wiki/Anicia_Juliana,Olybrius,http://www.wikidata.org/entity/Q193678,Placidia,http://www.wikidata.org/entity/Q174323
http://www.wikidata.org/entity/Q117794554,"Anicia of Rome",,,human,,"Anicius Auchenius Bassus",http://www.wikidata.org/entity/Q1174096,,
http://www.wikidata.org/entity/Q12272063,"Anicia Proba",,"ancient Roman noblewoman",human,,"Sextus Claudius Petronius Probus",http://www.wikidata.org/entity/Q1542092,"Anicia Faltonia Proba",http://www.wikidata.org/entity/Q1154373
http://www.wikidata.org/entity/Q3617458,"Anicius Acilius Aginantius Faustus",,"Roman politician, consul 483",human,https://en.wikipedia.org/wiki/Anicius_Acilius_Aginantius_Faustus,,,,
http://www.wikidata.org/entity/Q3617459,"Anicius Acilius Glabrio Faustus",,"politician, Praetorian prefect and Praefectus urbi",human,https://en.wikipedia.org/wiki/Anicius_Acilius_Glabrio_Faustus,,,,
http://www.wikidata.org/entity/Q1174096,"Anicius Auchenius Bassus",,"Roman politician, consul 431",human,https://en.wikipedia.org/wiki/Anicius_Auchenius_Bassus_(consul_431),"Anicius Auchenius Bassus",http://www.wikidata.org/entity/Q2289711,,
http://www.wikidata.org/entity/Q1174111,"Anicius Auchenius Bassus",,"Roman politician, praefectus urbi 382",human,https://en.wikipedia.org/wiki/Anicius_Auchenius_Bassus_(prefect),"Amnius Anicius Paulinus",http://www.wikidata.org/entity/Q532206,"Auchenia or Pincia",http://www.wikidata.org/entity/Q12271105
http://www.wikidata.org/entity/Q1174111,"Anicius Auchenius Bassus",,"Roman politician, praefectus urbi 382",human,https://en.wikipedia.org/wiki/Anicius_Auchenius_Bassus_(prefect),"Junius Bassus",http://www.wikidata.org/entity/Q646191,"Auchenia or Pincia",http://www.wikidata.org/entity/Q12271105
http://www.wikidata.org/entity/Q2289711,"Anicius Auchenius Bassus",,"Roman politician, consul 408",human,https://en.wikipedia.org/wiki/Anicius_Auchenius_Bassus_(consul_408),"Anicius Auchenius Bassus",http://www.wikidata.org/entity/Q1174111,"Turrenia Honorata",http://www.wikidata.org/entity/Q12297063
http://www.wikidata.org/entity/Q546433,"Anicius Faustus Albinus Basilius",,politician,human,https://en.wikipedia.org/wiki/Anicius_Faustus_Albinus_Basilius,,,,
http://www.wikidata.org/entity/Q1223461,"Anicius Faustus Paulinus",,"3rd-century Roman statesman and official",human,https://en.wikipedia.org/wiki/Anicius_Faustus,"Sextus Cocceius Anicius Faustus Paulinus",http://www.wikidata.org/entity/Q7458635,,
http://www.wikidata.org/entity/Q1372249,"Anicius Hermogenianus Olybrius",,"consul of the Roman Empire",human,https://en.wikipedia.org/wiki/Anicius_Hermogenianus_Olybrius,"Sextus Claudius Petronius Probus",http://www.wikidata.org/entity/Q1542092,"Anicia Faltonia Proba",http://www.wikidata.org/entity/Q1154373
http://www.wikidata.org/entity/Q723244,"Anicius Maximus",,"consul of the Roman Empire",human,https://en.wikipedia.org/wiki/Maximus_(consul_523),,,,
http://www.wikidata.org/entity/Q1136554,"Anicius Olybrius",,politician,human,https://en.wikipedia.org/wiki/Olybrius_(consul_526),,,,
http://www.wikidata.org/entity/Q3617457,"Anicius Paulinus",,"Roman politician",human,,"Sextus Anicius Paulinus",http://www.wikidata.org/entity/Q637456,,
http://www.wikidata.org/entity/Q2280783,"Anicius Petronius Probus",,politician,human,https://en.wikipedia.org/wiki/Anicius_Petronius_Probus,"Sextus Claudius Petronius Probus",http://www.wikidata.org/entity/Q1542092,"Anicia Faltonia Proba",http://www.wikidata.org/entity/Q1154373
http://www.wikidata.org/entity/Q723472,"Anicius Probinus",,politician,human,https://en.wikipedia.org/wiki/Anicius_Probinus,"Sextus Claudius Petronius Probus",http://www.wikidata.org/entity/Q1542092,"Anicia Faltonia Proba",http://www.wikidata.org/entity/Q1154373
http://www.wikidata.org/entity/Q4764503,"Anicius Probus",,"5th-century Roman politician",human,https://en.wikipedia.org/wiki/Anicius_Probus,"Anicius Hermogenianus Olybrius",http://www.wikidata.org/entity/Q1372249,"Anicia Juliana",http://www.wikidata.org/entity/Q12272064
http://www.wikidata.org/entity/Q3617461,"Anicius Probus Faustus",,"consul in 490 AD",human,https://en.wikipedia.org/wiki/Anicius_Probus_Faustus,"Gennadius Avienus",http://www.wikidata.org/entity/Q1131457,,
http://www.wikidata.org/entity/Q1439413,"Anicius Probus Junior",,"6th century Consul of the Ostrogothic Kingdom",human,https://en.wikipedia.org/wiki/Probus_(consul_525),"Anicius Olybrius",http://www.wikidata.org/entity/Q25396715,,
http://www.wikidata.org/entity/Q21548666,Anion,,"ancient Greek general","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q374275,Anius,,"mythical king of Delos","king in Greek mythology",https://en.wikipedia.org/wiki/Anius,Apollo,http://www.wikidata.org/entity/Q37340,Creusa,http://www.wikidata.org/entity/Q375174
http://www.wikidata.org/entity/Q374275,Anius,,"mythical king of Delos","king in Greek mythology",https://en.wikipedia.org/wiki/Anius,Apollo,http://www.wikidata.org/entity/Q37340,Rhoeo,http://www.wikidata.org/entity/Q1782599
http://www.wikidata.org/entity/Q374275,Anius,,"mythical king of Delos","mythological Greek character",https://en.wikipedia.org/wiki/Anius,Apollo,http://www.wikidata.org/entity/Q37340,Creusa,http://www.wikidata.org/entity/Q375174
http://www.wikidata.org/entity/Q374275,Anius,,"mythical king of Delos","mythological Greek character",https://en.wikipedia.org/wiki/Anius,Apollo,http://www.wikidata.org/entity/Q37340,Rhoeo,http://www.wikidata.org/entity/Q1782599
http://www.wikidata.org/entity/Q556302,Ankan,,"ancient numidian carpenter",human,,,,,
http://www.wikidata.org/entity/Q559304,Anna,,"Schwester der Dido","mythical character",,,,,
http://www.wikidata.org/entity/Q559304,Anna,,"Schwester der Dido","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q108255935,"Anna Beltrametti",,"Italian hellenist (1951-)",human,,,,,
http://www.wikidata.org/entity/Q112506036,"Anna Iris",,,human,,,,,
http://www.wikidata.org/entity/Q564181,"Annaeus Serenus",,"politician (0100-0100)",human,https://en.wikipedia.org/wiki/Annaeus_Serenus,,,,
http://www.wikidata.org/entity/Q2633699,"Anne Carson",,"Canadian poet and academic (born 1950)",human,https://en.wikipedia.org/wiki/Anne_Carson,,,,
http://www.wikidata.org/entity/Q112511695,"Anne-Marie Favreau-Linder",,,human,,,,,
http://www.wikidata.org/entity/Q112513345,"Annette Hüffmeier",,,human,,,,,
http://www.wikidata.org/entity/Q108330266,Annia,,"woman who has her inheritence stolen by Verres",human,,"Publius Annius Asellus",http://www.wikidata.org/entity/Q11943233,,
http://www.wikidata.org/entity/Q110972695,"Annia Aelia Restituta",,"ancient Roman priestess of the imperial cult during the late High Roman Empire",human,,,,,
http://www.wikidata.org/entity/Q3655950,"Annia Aurelia Galeria Faustina",,"daughter of emperor Marcus Aurelius",human,https://en.wikipedia.org/wiki/Annia_Galeria_Aurelia_Faustina,"Marcus Aurelius",http://www.wikidata.org/entity/Q1430,"Faustina the Younger",http://www.wikidata.org/entity/Q236936
http://www.wikidata.org/entity/Q1284248,"Annia Cornificia Faustina",,"sister of Roman emperor Marcus Aurelius",human,https://en.wikipedia.org/wiki/Annia_Cornificia_Faustina,"Marcus Annius Verus",http://www.wikidata.org/entity/Q1292169,"Calvisia Domitia Lucilla",http://www.wikidata.org/entity/Q1815905
http://www.wikidata.org/entity/Q441706,"Annia Cornificia Faustina Minor",,"Roman emperor Marcus Aurelius' daughter (160-212)",human,https://en.wikipedia.org/wiki/Annia_Cornificia_Faustina_Minor,"Marcus Aurelius",http://www.wikidata.org/entity/Q1430,"Faustina the Younger",http://www.wikidata.org/entity/Q236936
http://www.wikidata.org/entity/Q241466,"Annia Faustina",,"Roman empress, wife of Elagabalus",human,https://en.wikipedia.org/wiki/Annia_Faustina,"Tiberius Claudius Severus Proculus",http://www.wikidata.org/entity/Q674757,"Annia Faustina",http://www.wikidata.org/entity/Q4769176
http://www.wikidata.org/entity/Q4769176,"Annia Faustina",,"mother-in-law of Roman emperor Elagabalus",human,https://en.wikipedia.org/wiki/Annia_Faustina_(daughter_of_Ummidia_Cornificia_Faustina),,,"Ummidia Cornificia Faustina",http://www.wikidata.org/entity/Q7881718
http://www.wikidata.org/entity/Q556865,Anniceris,,"ancient Greek philosopher",human,https://en.wikipedia.org/wiki/Anniceris,,,,
http://www.wikidata.org/entity/Q113057537,Annius,,"son of Vinicianus and Domitia",human,,"Lucius Annius Vinicianus",http://www.wikidata.org/entity/Q11934035,"Domitia Corbula",http://www.wikidata.org/entity/Q2111953
http://www.wikidata.org/entity/Q3618116,"Annius Eucharius Epiphanius",,"Roman politician, prefect of Rome",human,https://en.wikipedia.org/wiki/Annius_Eucharius_Epiphanius,,,,
http://www.wikidata.org/entity/Q12272056,"Annius Mela",,politician,human,,,,,
http://www.wikidata.org/entity/Q153055,"Annius Rufus",,"Roman Prefect of Judea from AD 12 to 15",human,https://en.wikipedia.org/wiki/Annius_Rufus,,,,
http://www.wikidata.org/entity/Q12272055,"Annius Verus",,politician,human,,,,,
http://www.wikidata.org/entity/Q20666053,"Anochus of Tarentum",Ἄνοχος,"ancient Olympic victor",human,,,,,
http://www.wikidata.org/entity/Q108541818,Anogon,,"Greek mythological character","mythological Greek character",https://en.wikipedia.org/wiki/Anogon,,,,
http://www.wikidata.org/entity/Q26690165,Anogon,,"Greek mythical character, son of Castor an Hilaeira","mythological Greek character",,Castor,http://www.wikidata.org/entity/Q11294144,Hilaeira,http://www.wikidata.org/entity/Q383960
http://www.wikidata.org/entity/Q3618227,"Anonymus Iamblichi",,"pseudo-auteur de philosophie",human,,,,,
http://www.wikidata.org/entity/Q3618227,"Anonymus Iamblichi",,"pseudo-auteur de philosophie",pseudo-author,,,,,
http://www.wikidata.org/entity/Q107676132,"Anonymus Londinensis",,"physician (1st century)",human,,,,,
http://www.wikidata.org/entity/Q107676132,"Anonymus Londinensis",,"physician (1st century)",notname,,,,,
http://www.wikidata.org/entity/Q567653,"Anonymus post Dionem",,"Autor der Spätantike",human,,,,,
http://www.wikidata.org/entity/Q21548681,Antaeus,,"mythological Greek character","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q272006,Antaeus,Ἀνταῖον,"character in Greek and Berber mythology","mythological Greek character",https://en.wikipedia.org/wiki/Antaeus,Poseidon,http://www.wikidata.org/entity/Q41127,Gaia,http://www.wikidata.org/entity/Q93172
http://www.wikidata.org/entity/Q3618377,Antagoras,,"son of Eurypylus in Greek mythology","mythological Greek character",,Eurypylus,http://www.wikidata.org/entity/Q1378556,Clytia,http://www.wikidata.org/entity/Q21051017
http://www.wikidata.org/entity/Q3558582,"Antagoras of Rhodes",Ἀνταγόρας,"ancient Greek poet",human,https://en.wikipedia.org/wiki/Antagoras_of_Rhodes,,,,
http://www.wikidata.org/entity/Q508188,Antalcidas,Ἀνταλκίδας,"Spartan general and statesman (died c. 367 BC)",human,https://en.wikipedia.org/wiki/Antalcidas,,,,
http://www.wikidata.org/entity/Q121365916,Antander,Ἄντανδρος,"ancient Messenian war leader against Sparta",human,,,,,
http://www.wikidata.org/entity/Q572956,Antander,,"brother of the tyrant of Syracuse Agathocles",human,https://en.wikipedia.org/wiki/Antander,,,,
http://www.wikidata.org/entity/Q109268716,Anteia,,"courtesan in ancient Athens",human,,,,,
http://www.wikidata.org/entity/Q15783618,Anteia,,"wife of Helvidius",human,,"Publius Anteius Rufus",http://www.wikidata.org/entity/Q1360322,,
http://www.wikidata.org/entity/Q11905701,Anteias,,"son of Odysseus and Circe","mythological Greek character",https://en.wikipedia.org/wiki/Anteias,Odysseus,http://www.wikidata.org/entity/Q47231,Circe,http://www.wikidata.org/entity/Q187602
http://www.wikidata.org/entity/Q122819418,Antenor,,"mythological Greek character, one of the suitors of Penelope","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q122819465,Antenor,,"mythological Greek character who lit the pyre of Alcmena","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q26709120,Antenor,,"ancient Greek potter or vase painter",human,,,,,
http://www.wikidata.org/entity/Q552633,Antenor,Ἀντήνωρ,"6th century BC Athenian sculptor",human,https://en.wikipedia.org/wiki/Antenor,,,,
http://www.wikidata.org/entity/Q571969,Antenor,Ἀντήνορος,"mythical Trojan hero","mythological Greek character",https://en.wikipedia.org/wiki/Antenor_(mythology),Aesyetes,http://www.wikidata.org/entity/Q4688595,,
http://www.wikidata.org/entity/Q3618433,"Antenor of Crete",,"ancient Greek writer",human,https://en.wikipedia.org/wiki/Antenor_(writer),,,,
http://www.wikidata.org/entity/Q22916736,"Antenor of Miletus",,"ancient olympics pankration victor, 4th century BC",human,,,,,
http://www.wikidata.org/entity/Q572133,Anteros,Ἀντέρωτος,"The God of Selfless Love in Greek mythology","Greek deity",https://en.wikipedia.org/wiki/Anteros,Ares,http://www.wikidata.org/entity/Q40901,Aphrodite,http://www.wikidata.org/entity/Q35500
http://www.wikidata.org/entity/Q572121,"Anterus of Alexandria",,"griechischer Grammatiker",human,,,,,
http://www.wikidata.org/entity/Q16167325,Anthaeus,,"Greek sculptor",human,,,,,
http://www.wikidata.org/entity/Q3618450,Anthas,Ἄνθα,"son of Poseidon and Alcyone in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Anthas,Poseidon,http://www.wikidata.org/entity/Q41127,Alcyone,http://www.wikidata.org/entity/Q763268
http://www.wikidata.org/entity/Q12748391,Anthe,,"one of the Alkyonides","mythological Greek character",,Alcyoneus,http://www.wikidata.org/entity/Q653681,,
http://www.wikidata.org/entity/Q107144070,Anthea,,"mythological Greek character","mythological Greek character",https://en.wikipedia.org/wiki/Anthea_(daughter_of_Thespius),,,,
http://www.wikidata.org/entity/Q21548690,Anthea,,"epithet of Hera at Argos",epithet,,,,,
http://www.wikidata.org/entity/Q11905702,"Antheas of Lindos",,poet,human,https://en.wikipedia.org/wiki/Antheas_Lindius,,,,
http://www.wikidata.org/entity/Q21548696,Anthedon,,"mythological Greek character","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q3618401,Anthedon,Ἀνθηδόνος,"eponymous figure of Anthedon in Boeotia","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q109268688,Antheia,,"courtesan in ancient Athens",human,,,,,
http://www.wikidata.org/entity/Q3312821,Antheia,,"one of the Charites, or Graces, of Greek mythology",Charites,https://en.wikipedia.org/wiki/Antheia,,,,
http://www.wikidata.org/entity/Q63413025,Antheia,,"mythical daughter of Thespius","mythological Greek character",,Thespius,http://www.wikidata.org/entity/Q952188,,
http://www.wikidata.org/entity/Q16331048,Antheias,Ἀνθείαν,"mythical son of Eumelus","mythological Greek character",,Eumelus,http://www.wikidata.org/entity/Q12877440,,
http://www.wikidata.org/entity/Q3618664,Antheis,,"daughter of Hyacinthus the Lacedaemonian in Greek mythology","mythological Greek character",,"Hyacinthus the Lacedaemonian",http://www.wikidata.org/entity/Q4137890,,
http://www.wikidata.org/entity/Q4771566,Antheleia,,"Greek mythical character, daughter of Danaus","mythological Greek character",https://en.wikipedia.org/wiki/Anthelea,Danaus,http://www.wikidata.org/entity/Q210883,Polyxo,http://www.wikidata.org/entity/Q2103187
http://www.wikidata.org/entity/Q2528282,Anthemiolus,,"Roman general",human,https://en.wikipedia.org/wiki/Anthemiolus,Anthemius,http://www.wikidata.org/entity/Q211772,"Marcia Euphemia",http://www.wikidata.org/entity/Q380773
http://www.wikidata.org/entity/Q3618410,Anthemion,,"Greek mythological character, father of Simoeisius","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q211772,Anthemius,,"Western Roman Emperor from 467 to 472 (420-472)",human,https://en.wikipedia.org/wiki/Anthemius,,,,
http://www.wikidata.org/entity/Q515350,Anthemius,,"Pretorian Prefect of the East",human,https://en.wikipedia.org/wiki/Anthemius_(praetorian_prefect),,,,
http://www.wikidata.org/entity/Q1427516,"Anthemius Isidorus",,politician,human,https://en.wikipedia.org/wiki/Anthemius_Isidorus,Anthemius,http://www.wikidata.org/entity/Q515350,,
http://www.wikidata.org/entity/Q298226,"Anthemius of Tralles",,"Ancient Greek scientist and architect",human,https://en.wikipedia.org/wiki/Anthemius_of_Tralles,,,,
http://www.wikidata.org/entity/Q109486108,Anthemocritus,Ἀνθεμοκρίτου,"Athenian herald killed by the Megarians",human,,,,,
http://www.wikidata.org/entity/Q110964745,Anthemone,,"daughter of Aeneas in Greek mythology","mythological Greek character",,Aeneas,http://www.wikidata.org/entity/Q82732,Creusa,http://www.wikidata.org/entity/Q375174
http://www.wikidata.org/entity/Q21548702,Anthes,,"mythical son of Poseidon","mythological Greek character",,Poseidon,http://www.wikidata.org/entity/Q41127,,
http://www.wikidata.org/entity/Q339689,Anthesteria,,"festivals in honor of Dionysus","religious and cultural festive day",https://en.wikipedia.org/wiki/Anthesteria,,,,
http://www.wikidata.org/entity/Q21548705,Antheus,,"son of Neptune and Astypalaea","mythological Greek character",,Poseidon,http://www.wikidata.org/entity/Q41127,Astypalaea,http://www.wikidata.org/entity/Q371206
http://www.wikidata.org/entity/Q21548711,Antheus,,"mythical Trojan with Aeneas","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q23818217,Antheus,,"personaggio della mitologia greca, figlio di Asseso","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q4067738,Antheus,,"mythical son of Antenor","mythological Greek character",,Antenor,http://www.wikidata.org/entity/Q571969,Theano,http://www.wikidata.org/entity/Q1154473
http://www.wikidata.org/entity/Q123020456,Anthimos,,"Greek calligrapher active in Southern Italy in the 10th century",human,,,,,
http://www.wikidata.org/entity/Q1277364,"Anthimus I of Constantinople",,"Patriarch of Constantinople",human,https://en.wikipedia.org/wiki/Anthimus_I_of_Constantinople,,,,
http://www.wikidata.org/entity/Q2280870,"Anthimus of Rome",,"Christian priest and saint",human,https://en.wikipedia.org/wiki/Anthimus_of_Rome,,,,
http://www.wikidata.org/entity/Q107349751,Anthios,"Διονύσου τε Ἀνθίου","epithet of Dionysos, flowery",epithet,,,,,
http://www.wikidata.org/entity/Q21548714,Anthippe,,"daughter of Thespius in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Anthippe,Thespius,http://www.wikidata.org/entity/Q952188,,
http://www.wikidata.org/entity/Q3618763,Anthippe,,"mythical maiden from Chaonia","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q18410302,Anthippus,,"mythical father of Hippe","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q18691911,Anthippus,,"Athenian poet of Old Comedy",human,https://en.wikipedia.org/wiki/Anthippus,,,,
http://www.wikidata.org/entity/Q109268715,Anthis,,"courtesan in ancient Athens",human,,,,,
http://www.wikidata.org/entity/Q120358796,Anthius,,"Greek historian cited by John Malalas",human,,,,,
http://www.wikidata.org/entity/Q170547,"Anthony the Great",,"Egyptian Christian monk and hermit (died 356)",human,https://en.wikipedia.org/wiki/Anthony_the_Great,,,,
http://www.wikidata.org/entity/Q2545423,Anthousai,,"nymphs of flowers in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Anthousai,,,,
http://www.wikidata.org/entity/Q29686726,Anthracia,Ἀνθρακία,"Arcadian nymph in Greek mythology","Greek nymph",https://en.wikipedia.org/wiki/Anthracia_(mythology),,,,
http://www.wikidata.org/entity/Q16327610,Anthus,,"mythological Greek character, son of Autonous","mythological Greek character",,Autonous,http://www.wikidata.org/entity/Q4056376,Hippodamia,http://www.wikidata.org/entity/Q29654315
http://www.wikidata.org/entity/Q21548723,Anthus,,"mythological Greek character, son of Triopas","mythological Greek character",,Triopas,http://www.wikidata.org/entity/Q11704754,,
http://www.wikidata.org/entity/Q41509983,"Antia Marcellina",,"daughter of Marcus Antonius Antius Lupus",human,,"Marcus Antonius Antius Lupus",http://www.wikidata.org/entity/Q19609971,"Claudia Regilla",http://www.wikidata.org/entity/Q30026565
http://www.wikidata.org/entity/Q21548726,Antiades,,"son of Heracles in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Antiades,Heracles,http://www.wikidata.org/entity/Q122248,Aglaia,http://www.wikidata.org/entity/Q394171
http://www.wikidata.org/entity/Q2470726,Antianeira,,"Greek mythical character, amazon","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q574825,Antianeira,,"Greek mythical character, daughter of Menetus","mythological Greek character",https://en.wikipedia.org/wiki/Antianeira_(daughter_of_Menetes),Menetus,http://www.wikidata.org/entity/Q13442268,,
http://www.wikidata.org/entity/Q574828,Antianeira,,"mythical character, nymph, daughter of Pheres","Greek nymph",https://en.wikipedia.org/wiki/Antianeira_of_Argos,,,,
http://www.wikidata.org/entity/Q574828,Antianeira,,"mythical character, nymph, daughter of Pheres","mythological Greek character",https://en.wikipedia.org/wiki/Antianeira_of_Argos,,,,
http://www.wikidata.org/entity/Q21548732,Antias,,"son of Hermes in Greek mythology","mythological Greek character",,Hermes,http://www.wikidata.org/entity/Q41484,,
http://www.wikidata.org/entity/Q105748356,Antiatticista,,"ancient Greek grammarian",human,,,,,
http://www.wikidata.org/entity/Q105748356,Antiatticista,,"ancient Greek grammarian",notname,,,,,
http://www.wikidata.org/entity/Q55281299,Antibia,,"daughter of Amphidamas in Greek mythology","mythological Greek character",,Amphidamas,http://www.wikidata.org/entity/Q16515495,,
http://www.wikidata.org/entity/Q55281301,Antibia,,"daughter of Pelops in Greek mythology","mythological Greek character",,Pelops,http://www.wikidata.org/entity/Q192485,Hippodamia,http://www.wikidata.org/entity/Q328354
http://www.wikidata.org/entity/Q576170,Anticlea,Ἀντίκλειά,"Mother of Odysseus","mythological Greek character",https://en.wikipedia.org/wiki/Anticlea,Autolycus,http://www.wikidata.org/entity/Q463107,Amphithea,http://www.wikidata.org/entity/Q474965
http://www.wikidata.org/entity/Q11905735,Anticleia,,"Mother of Periphetes","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q576173,Anticleia,Ἀντίκλειαν,"mythical daughter of Diocles","mythological Greek character",,Diocles,http://www.wikidata.org/entity/Q1226883,,
http://www.wikidata.org/entity/Q4774639,Anticles,,"ancient Olympic victor",human,https://en.wikipedia.org/wiki/Anticles,,,,
http://www.wikidata.org/entity/Q4774641,"Anticles of Messenia",,"ancient Greek olympics victor in stadion",human,https://en.wikipedia.org/wiki/Anticles_of_Messenia,,,,
http://www.wikidata.org/entity/Q2759424,Anticlides,,"3rd-century BC historian",human,https://en.wikipedia.org/wiki/Anticlides,,,,
http://www.wikidata.org/entity/Q576282,Anticlus,,"mythical Greek fighter at Troy, throttled by Odysseus","mythological Greek character",https://en.wikipedia.org/wiki/Anticlus,,,,
http://www.wikidata.org/entity/Q21809793,"Anticrates of Epidaurus",,"ancient Olympic stadion victor, 600 BCE",human,https://en.wikipedia.org/wiki/Anticrates_of_Epidaurus,,,,
http://www.wikidata.org/entity/Q21548735,Anticyreus,Ἀντικυρέα,"mythical helper of Heracles","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q575070,Antidoros,,"Greek potter",human,,,,,
