person,personLabel,genderLabel,personDescription,entityLabel,citizen,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q333658,Absyrtus,male,mythical brother of Medea,mythological Greek character,,,Aeëtes,Neaera,,https://en.wikipedia.org/wiki/Absyrtus,http://www.wikidata.org/entity/Q241971,http://www.wikidata.org/entity/Q1375640,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2595580,Abudimus,male,Christian martyr,human,http://www.wikidata.org/entity/Q1747689,0305-01-01T00:00:00Z,,,Bozcaada,https://en.wikipedia.org/wiki/Abudimus,,,http://www.wikidata.org/entity/Q211817,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q188265,Abudius Ruso,male,legate during the reign of Tiberius,human,http://www.wikidata.org/entity/Q1747689,0100-01-01T00:00:00Z,,,http://www.wikidata.org/.well-known/genid/0be3b36f8f75e0179ff38b70b30be5c0,https://en.wikipedia.org/wiki/Abudius_Ruso,,,http://www.wikidata.org/.well-known/genid/0be3b36f8f75e0179ff38b70b30be5c0,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q335990,Abundantius,male,Roman consul,human,http://www.wikidata.org/entity/Q1747689,0500-01-01T00:00:00Z,,,Scythia Minor,https://en.wikipedia.org/wiki/Abundantius_(consul),,,http://www.wikidata.org/entity/Q1196595,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2489389,Abundantius,male,Saint,human,http://www.wikidata.org/entity/Q1747689,0304-01-01T00:00:00Z,,,http://www.wikidata.org/.well-known/genid/ccd80c6aa19476387bc2de0da7e24b71,,,,http://www.wikidata.org/.well-known/genid/ccd80c6aa19476387bc2de0da7e24b71,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q19918146,Abundantius,male,político romano del siglo V,human,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q64549280,Aburnius Valens,male,jurista romano,human,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q64758893,Abuttius Laco,male,crony of Marcus Antonius,human,http://www.wikidata.org/entity/Q1747689,http://www.wikidata.org/.well-known/genid/693aa48b27cffbfc3b44855df8662174,http://www.wikidata.org/.well-known/genid/ca4e0a1e14f9e105804ab45b6fe7006a,http://www.wikidata.org/.well-known/genid/e5e1fdc1d3f0ea1928c4fa461f355854,http://www.wikidata.org/.well-known/genid/5d941f974d69a659174330a172495a82,,http://www.wikidata.org/.well-known/genid/ca4e0a1e14f9e105804ab45b6fe7006a,http://www.wikidata.org/.well-known/genid/e5e1fdc1d3f0ea1928c4fa461f355854,http://www.wikidata.org/.well-known/genid/5d941f974d69a659174330a172495a82,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q305267,Abydenus,male,Ancient Greek historian,human,,0200-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Abydenus,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q947753,Acacallis,female,daughter of Minos in Greek mythology,mythological Greek character,,,Minos,Pasiphaë,,https://en.wikipedia.org/wiki/Acacallis_(mythology),http://www.wikidata.org/entity/Q23168,http://www.wikidata.org/entity/Q203236,,http://www.wikidata.org/entity/Q6581072,,
