Identifier,Sort_order,"Location","'Date'","Geometry",Type
1.7.3,38,"Monument of the Eponymous Heroes in Agora of Athens",07-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.7.3,38,"Monument of the Eponymous Heroes in Agora of Athens",07-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.8.1,39,"Monument of the Eponymous Heroes in Agora of Athens",08-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}",heroon
1.8.1,39,"Monument of the Eponymous Heroes in Agora of Athens",08-08-165,"{""type"": ""Point"", ""coordinates"": [23.72239, 37.9751]}","mythic/historic site"
1.8.2,40,"Agora of Athens",09-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}",agora
1.8.3,41,"Agora of Athens",10-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}",agora
1.8.4,42,"Agora of Athens",11-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}",agora
1.8.5,43,"Agora of Athens",12-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}",agora
1.8.6,44,"Agora of Athens",13-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}",agora
1.9.1,45,"Odeion of Agrippa (Athens Agora)",14-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.9.1,45,"Odeion of Agrippa (Athens Agora)",14-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.9.2,46,"Odeion of Agrippa (Athens Agora)",15-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.9.2,46,"Odeion of Agrippa (Athens Agora)",15-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.9.3,47,"Odeion of Agrippa (Athens Agora)",16-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.9.3,47,"Odeion of Agrippa (Athens Agora)",16-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.9.4,48,"Odeion of Agrippa (Athens Agora)",17-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.9.4,48,"Odeion of Agrippa (Athens Agora)",17-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.9.5,49,"Odeion of Agrippa (Athens Agora)",18-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.9.5,49,"Odeion of Agrippa (Athens Agora)",18-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.9.6,50,"Odeion of Agrippa (Athens Agora)",19-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.9.6,50,"Odeion of Agrippa (Athens Agora)",19-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.9.7,51,"Odeion of Agrippa (Athens Agora)",20-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.9.7,51,"Odeion of Agrippa (Athens Agora)",20-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.9.8,52,"Odeion of Agrippa (Athens Agora)",21-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.9.8,52,"Odeion of Agrippa (Athens Agora)",21-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.10.1,53,"Odeion of Agrippa (Athens Agora)",22-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.10.1,53,"Odeion of Agrippa (Athens Agora)",22-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.10.2,54,"Odeion of Agrippa (Athens Agora)",23-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
