Identifier,Sort_order,Location,'Date',Geometry,Type
"1.39.3",268,"road Eleusis to Megara","25-03-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.53982705243638, 38.047595247092005], [23.52526060641722, 38.049552847090865], [23.502396400579926, 38.03938801438548], [23.482876666075782, 38.02891528295672], [23.452584716116036, 38.02662540178687], [23.44420823243317, 38.020403763572375], [23.42626802843236, 38.00565116518223], [23.41044319860626, 37.99745156879213], [23.39922488213665, 37.99745533539301], [23.39049982150729, 37.99975221422801], [23.34398417373305, 37.99779776468709]]}]}","mythic/historic site"
"1.39.4",269,"road Eleusis to Megara","26-03-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.53982705243638, 38.047595247092005], [23.52526060641722, 38.049552847090865], [23.502396400579926, 38.03938801438548], [23.482876666075782, 38.02891528295672], [23.452584716116036, 38.02662540178687], [23.44420823243317, 38.020403763572375], [23.42626802843236, 38.00565116518223], [23.41044319860626, 37.99745156879213], [23.39922488213665, 37.99745533539301], [23.39049982150729, 37.99975221422801], [23.34398417373305, 37.99779776468709]]}]}","mythic/historic site"
"1.39.5",270,"road Eleusis to Megara","27-03-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.53982705243638, 38.047595247092005], [23.52526060641722, 38.049552847090865], [23.502396400579926, 38.03938801438548], [23.482876666075782, 38.02891528295672], [23.452584716116036, 38.02662540178687], [23.44420823243317, 38.020403763572375], [23.42626802843236, 38.00565116518223], [23.41044319860626, 37.99745156879213], [23.39922488213665, 37.99745533539301], [23.39049982150729, 37.99975221422801], [23.34398417373305, 37.99779776468709]]}]}","mythic/historic site"
"1.39.6",271,"road Eleusis to Megara","28-03-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.53982705243638, 38.047595247092005], [23.52526060641722, 38.049552847090865], [23.502396400579926, 38.03938801438548], [23.482876666075782, 38.02891528295672], [23.452584716116036, 38.02662540178687], [23.44420823243317, 38.020403763572375], [23.42626802843236, 38.00565116518223], [23.41044319860626, 37.99745156879213], [23.39922488213665, 37.99745533539301], [23.39049982150729, 37.99975221422801], [23.34398417373305, 37.99779776468709]]}]}","mythic/historic site"
"2.1.1",312,"Megarid-Corinthia border","08-05-166","{""type"": ""Point"", ""coordinates"": [23.17, 37.951]}","mythic/historic site"
"2.1.2",313,"Megarid-Corinthia border","09-05-166","{""type"": ""Point"", ""coordinates"": [23.17, 37.951]}","mythic/historic site"
"2.4.1",340,"Sanctuary of Athena Chalinitis in Corinth","05-06-166","{""type"": ""Point"", ""coordinates"": [22.8802, 37.9054]}","mythic/historic site"
"2.4.2",341,"Sanctuary of Athena Chalinitis in Corinth","06-06-166","{""type"": ""Point"", ""coordinates"": [22.8802, 37.9054]}","mythic/historic site"
"2.4.3",342,"Sanctuary of Athena Chalinitis in Corinth","07-06-166","{""type"": ""Point"", ""coordinates"": [22.8802, 37.9054]}","mythic/historic site"
"2.4.4",343,"Sanctuary of Athena Chalinitis in Corinth","08-06-166","{""type"": ""Point"", ""coordinates"": [22.8802, 37.9054]}","mythic/historic site"
