PlaceID,Lat,Lon,Name,Region,Part of,Location,Type,Passages,Wikidata,Manto,ToposText,URL,Pleiades,Notes,Arachne
"2348","37.6378","21.705","Altar of Athena Kydonia still intact for Pausanias","Eleia Bk5 Bk6","Sanctuary of Athena Kydonia at Phrixa","Sanctuary of Athena Kydonia at Phrixa","[""altar""]","[""6.21.6""]","","","","","","",""
"2349","37.8085","22.7108","Tomb of Lykourgos at Nemea, earth mound","Argolid Bk2","Sanctuary of Nemean Zeus, Nemea","Sanctuary of Nemean Zeus, Nemea","[""mound/dike"",""tomb mnema""]","[""2.15.3""]","https://wikidata.org/wiki/Q136487521","https://resource.manto.unh.edu/10159400","","","","",""
"2350","37.8914","22.0959","Sanctuary of Demeter at Kleitor","Arcadia Bk8","Kleitor","Kleitor","[""hieron""]","[""8.21.3""]","https://wikidata.org/wiki/Q134036980","","","","","",""
"2351","37.4563114","21.9725313","Lykaion (mountain)","Arcadia Bk8","Parrasia","","[""mountain oros""]","[""4.20.2"",""4.22.2"",""4.23.2"",""8.2.1"",""8.27.4"",""8.36.3"",""8.38.10"",""8.38.2"",""8.38.3"",""8.38.5"",""8.38.6"",""8.38.9"",""8.41.3""]","https://wikidata.org/wiki/Q1878690","","","","https://pleiades.stoa.org/places/570441","Olympus",""
"2352","37.4124","22.1273","altars in precinct of Zeus Lykaios at Megalopolis","Arcadia Bk8","Sanctuary of Zeus Lykaios in agora of Megalopolis","Megalopolis (Arkadia)","[""altar""]","[""8.30.2""]","","","","","","",""
"2353","38.4296","22.663","Agora of the Ambrossians, not large","Phokis Bk10","Ambrossos","Ambrossos","[""agora""]","[""10.36.4""]","https://wikidata.org/wiki/Q133963424","","","","","",""
"2354","38.35","23.25","disputed border between Thebes and Plataea","Boiotia Bk9","Boiotia Bk9","Boiotia Bk9","[""border""]","[""9.6.1""]","","","","","","",""
"2355","37.9742","23.726499999999998","Aidos altar, Athens","Athenai Bk1","Athenai Bk1","","[""altar""]","[""1.17.1""]","","","","https://dipylon-judithbindersourcebook.org/sourcebook/NPP/NPP.html","","",""
"2356","37.730833","22.756111","Tomb of Teledamos and Pelops in Mycenae","Argolid Bk2","Mycenae","Mycenae","[""tomb mnema""]","[""2.16.6""]","https://wikidata.org/wiki/Q136487506","https://resource.manto.unh.edu/10159506","","","","the twins of Cassandra",""
"2357","37.542","22.203","Sanctuary of Artemis Kalliste atop tomb of Kallisto near Trikolonoi","Arcadia Bk8","Tomb of Kallisto","Tomb of Kallisto","[""hieron""]","[""8.35.8""]","https://wikidata.org/wiki/Q134037073","https://resource.manto.unh.edu/10769845","","","","",""
"2358","38.0446","22.5384","Sanctuary of Asklepios Kyros, beyond Mysaion of Pellene","Achaia Bk7","Pellene","Pellene","[""hieron""]","[""7.27.11""]","https://wikidata.org/wiki/Q134037289","","","","","cure sanctuary, with springs",""
"2359","37.9717","23.7257","Athenian Acropolis (Athens)","Athenai Bk1","Athenai Bk1","","[""acropolis"",""fortification"",""hieron""]","[""1.18.2"",""1.21.3"",""1.21.4"",""1.22.1"",""1.22.4"",""1.22.8"",""1.23.7"",""1.24.1"",""1.24.3"",""1.25.1"",""1.25.7"",""1.25.8"",""1.26.3"",""1.26.6"",""1.27.10"",""1.27.3"",""1.27.8"",""1.28.3"",""1.30.1"",""1.5.4"",""4.36.6"",""5.11.10"",""5.21.1"",""6.8.6"",""7.25.3"",""7.27.2"",""8.10.4"",""8.23.5"",""9.35.3"",""9.35.7"",""9.4.1""]","https://wikidata.org/wiki/Q131013","","https://topostext.org/place/380237SAkr","","https://pleiades.stoa.org/places/638356144","Acropolis of Athens",""
"2360","37.971584","23.725421","Brauroneion","Athenai Bk1","Athenian Acropolis (Athens)","","[""hieron""]","[""1.23.7""]","https://wikidata.org/wiki/Q902329","https://resource.manto.unh.edu/10150355","https://topostext.org/place/380237SABr","","https://pleiades.stoa.org/places/573299847","Artemis Brauronia sanctuary on Athens Acropolis",""
"2361","37.38957","22.03143","Stoa in hieron of Pan at Lykosoura","Arcadia Bk8","Sanctuary of Despoina at Lykosoura","Sanctuary of Despoina at Lykosoura","[""stoa""]","[""8.37.11""]","","","","","","",""
"2362","37.377923","22.656854","Eua","Argolid Bk2","Kynouriake","","[""village kome""]","[""2.38.6""]","https://wikidata.org/wiki/Q5405223","","","","https://pleiades.stoa.org/places/570241","village in Kynouria",""
"2363","36.7279","22.5047","Temple of Diktynne Artemis on promontory near Las","Lakonia Bk3","Las polis","Las polis","[""temple""]","[""3.24.9""]","https://wikidata.org/wiki/Q124616404","","","","","",""
"2364","38.5348857","22.6222206","Parnassus (mountain)","Phokis Bk10","Phokis Bk10","","[""mountain oros""]","[""1.4.4"",""10.14.7"",""10.23.4"",""10.23.5"",""10.24.7"",""10.29.5"",""10.32.2"",""10.32.7"",""10.33.3"",""10.33.5"",""10.36.3"",""10.4.3"",""10.5.1"",""10.5.6"",""10.6.1"",""10.6.2"",""10.6.7"",""10.8.9"",""2.29.2"",""2.29.3"",""4.33.3"",""4.34.10"",""4.34.11"",""4.34.9"",""5.1.2"",""7.3.10"",""8.4.6""]","https://wikidata.org/wiki/Q105261","","","","https://pleiades.stoa.org/places/541012","",""
"2365","37.0821","22.4237","Altar of Zeus Amboulios and Athena Amboulia at Sparta","Lakonia Bk3","Sparta","Sparta","[""altar""]","[""3.13.6""]","https://wikidata.org/wiki/Q124616537","","","","","",""
"2366","44.33039","8.7862","Liguria","Europe","Europe","","[""chora/region""]","[""1.30.3""]","https://wikidata.org/wiki/Q1256","","","","https://pleiades.stoa.org/places/383698","",""
"2367","37.0570712","15.29293","Ortygia (island)","Sicilia (island)","Syracusae/Syrakousai","","[""island""]","[""5.7.2"",""5.7.3"",""8.54.3""]","https://wikidata.org/wiki/Q1233234","","","","https://pleiades.stoa.org/places/462402","",""
"2368","40.19406","26.411220000000004","Abydos","Asia Minor (Asia)","Troas","","[""polis""]","[""3.9.12""]","https://wikidata.org/wiki/Q336446","","","","https://pleiades.stoa.org/places/501325","",""
"2369","37.70559","22.78573","Euboia (mountain)","Argolid Bk2","Argolid Bk2","","[""mountain oros""]","[""2.17.1"",""2.17.2""]","","","","","https://pleiades.stoa.org/places/570245","Euboea hill: mountain above Argive Heraion, named for Euboea daughter of Asterion",""
"2370","39.3692","26.1769","Sea near Methymna","Aegean Sea (Hellas)","Aegean Sea (Hellas)","","[""sea""]","[""10.19.3""]","","","","","","",""
"2371","38.43335","23.59246","Altar of Artemis at Aulis","Boiotia Bk9","temple of Artemis at Aulis","temple of Artemis at Aulis","[""altar""]","[""3.9.4""]","","","","","","",""
"2372","36.460433","22.442714","Demeter megaron Kainepolis (Lakonia)","Lakonia Bk3","Kainepolis","Kainepolis","[""building""]","[""3.25.9""]","","","https://topostext.org/place/365224SDeK","","","",""
"2373","37.4378","22.0308","Sanctuary of Apollo Parrasios east of Mt. Lykaion","Arcadia Bk8","Lykaion (mountain)","","[""hieron""]","[""8.38.8""]","https://wikidata.org/wiki/Q134036909","","","","","unlocated, maybe foundations at Ag. Ioannis chapel NW of Isoma",""
"2374","37.3966","21.8683","Sanctuary of Eurynome at confluence of Lymax and Neda rivers","Arcadia Bk8","Lymax-Neda confluence","Lymax-Neda confluence","[""hieron""]","[""8.41.4""]","https://wikidata.org/wiki/Q134036861","https://resource.manto.unh.edu/10769882","","","","",""
"2375","38.243265","21.738518","sanctuary of Asclepius in stoa at Patrae","Achaia Bk7","Patrae","Patrae","[""hieron""]","[""7.20.9""]","https://wikidata.org/wiki/Q134036829","","","","","",""
"2376","38.95","21.2","Amphilochia region (Aitolia)","Aitolia region","Aitolia region","","[""chora/region""]","[""2.18.5""]","https://wikidata.org/wiki/Q21234899","","https://topostext.org/place/390212RAmp","","","",""
"2377","37.703924","27.329993","Panionion","Asia Minor (Asia)","Ionia (region)","","[""temple""]","[""7.3.10"",""7.4.10"",""7.5.1""]","https://wikidata.org/wiki/Q1310950","","","","https://pleiades.stoa.org/places/599855","",""
"2378","36.9556","22.2612","Alagonia (Messenia)","Lakonia Bk3","Messenia Bk4","","[""polisma""]","[""3.21.7"",""3.26.11""]","https://wikidata.org/wiki/Q3773354","","https://topostext.org/place/370223UAla","","","one of the Eleftherolakonian cities, 30 stades inland from Gerenia",""
"2379","37.969372","23.733078","Temple of Olympian Zeus (Athens)","Athenai Bk1","Sanctuary of Olympian Zeus at Athens","","[""temple""]","[""1.18.6"",""1.18.7"",""1.18.8"",""1.19.1""]","https://wikidata.org/wiki/Q1123019","","https://topostext.org/place/380237SOly","","https://pleiades.stoa.org/places/580042","",""
"2380","44.952389","12.432028","Padus/Eridanus (river)","Italia (Europe)","Italia (Europe)","","[""river""]","[""1.19.5"",""1.30.3"",""1.4.1"",""5.14.3"",""8.25.13""]","https://wikidata.org/wiki/Q643","","","","https://pleiades.stoa.org/places/393469","",""
"2381","37.0821","22.4237","Tomb of Orestes near sanctuary of the Fates at Sparta","Lakonia Bk3","Sparta","Sparta","[""tomb taphos""]","[""3.11.10""]","https://wikidata.org/wiki/Q124616308","https://resource.manto.unh.edu/10146665","","","","",""
"2382","37.2","21.8","Elaeos, Messenia","Messenia Bk4","Messenia Bk4","Messenia Bk4","[""chorion""]","[""4.1.6""]","","","","","https://pleiades.stoa.org/places/573196","Elaion: unspecified place above Lycus's wood",""
"2383","37.043277","22.413455","Alesiai","Lakonia Bk3","Lakonia Bk3","","[""chorion""]","[""3.20.2""]","https://wikidata.org/wiki/Q124615475","","","","https://pleiades.stoa.org/places/570063","",""
"2384","37.65988","22.43409","Alesion (mountain)","Arcadia Bk8","Arcadia Bk8","","[""mountain oros""]","[""8.10.1"",""8.10.2"",""9.14.3""]","https://wikidata.org/wiki/Q25094274","","https://topostext.org/place/378223LAle","","https://pleiades.stoa.org/places/570064","mountain above Mantinea hippodrome",""
"2385","37.997","23.34285","temple of Dionysus Nyktelios at Megara","Megarid Bk1","Megara (Megarid)","Megara (Megarid)","[""temple""]","[""1.40.6""]","https://wikidata.org/wiki/Q124644615","","","","","",""
"2386","37.08188","22.42659","Ancient Ephoreia in Sparta","Lakonia Bk3","Agora of Sparta","Agora of Sparta","[""building""]","[""3.11.11""]","","","","","","",""
"2387","37.97635","23.722650000000005","Stoa Poikile (Athens)","Athenai Bk1","Kerameikos","","[""stoa""]","[""1.15.1"",""1.15.2"",""1.15.4"",""1.16.1"",""5.11.6""]","https://wikidata.org/wiki/Q936234","","https://topostext.org/place/380237BSPo","","","",""
"2388","41.5","20.5","Encheleioi","Epiros region","Epiros region","","[""chora/region""]","[""9.5.3""]","https://wikidata.org/wiki/Q1265876","","","","https://pleiades.stoa.org/places/481829","",""
"2389","36.7863","22.5129","Temple of Poseidon at Lake of Poseidon at Aigiai","Lakonia Bk3","Aigiai (Lakonia)","Aigiai (Lakonia)","[""temple""]","[""3.21.5""]","https://wikidata.org/wiki/Q124616514","","","","","",""
"2390","39.253","20.553","Acherousia lake","Hellas (Europe)","Thesprotia","","[""lake""]","[""1.17.5""]","https://wikidata.org/wiki/Q2667947","","https://topostext.org/place/393208WAch","","","lake of Thesprotia",""
"2391","37.6316","22.7195","Building for the rites of Adonis in Argos","Argolid Bk2","Argos (Argolid)","Argos (Argolid)","[""building""]","[""2.20.6""]","","","","","","",""
"2392","38.20809","23.110281","Mountain by the sea west of Kreusis","Boiotia Bk9","Kreusis","Kreusis","[""mountain oros""]","[""9.32.2""]","","","","","","",""
"2393","38.428937","22.450621","Plain above Kirra bare of trees","Phokis Bk10","Kirra","Kirra","[""plain""]","[""10.37.5""]","","","","","","",""
"2394","38.142006","22.231166","Temple of Eileithyia at Boura","Achaia Bk7","Boura","Boura","[""temple""]","[""7.25.9""]","","","","","","",""
"2395","37.601","21.788","Ridge of Sauros by the Erymanthos river","Eleia Bk5 Bk6","Eleia Bk5 Bk6","","[""ridge""]","[""6.21.3""]","","","","","","",""
"2396","37.4124","22.1273","Megalopolis southern part beyond the Helisson","Arcadia Bk8","Megalopolis (Arkadia)","Megalopolis (Arkadia)","[""place""]","[""8.32.1""]","","","","","","moira to the south: area of Megalopolis theater",""
"2397","37.9758","23.716","Zeus Meilichios altar on Sacred Way","Attica Bk1","Sacred Way from Athens to Eleusis","","[""altar""]","[""1.37.4""]","","","","https://dipylon-judithbindersourcebook.org/sourcebook/NPP/NPP.html","","",""
"2398","37.6316","22.7195","Theater of Argos","Argolid Bk2","Argos (Argolid)","","[""theater""]","[""2.20.7"",""2.20.8""]","https://wikidata.org/wiki/Q24912661","","https://topostext.org/place/376227BThA","","","has many things worth seing",""
"2399","37.975","23.723000000000003","Heliaia, lawcourt, Athens","Athenai Bk1","Athenai Bk1","","[""law court""]","[""1.28.8""]","","","","https://dipylon-judithbindersourcebook.org/sourcebook/NPP/NPP.html","","",""
"2400","38.58344","22.66931","Place near Tithorea where sacred remnants from Isis festival are buried","Phokis Bk10","Tithorea/Neon","Area around hieron of Isis near Tithorea, where panêgyris is held.","[""chorion""]","[""10.32.14""]","","","","","","2 stades from adyton of Isis",""
"2401","40.383868","16.824063","Metapontum","Italia (Europe)","Italia (Europe)","","[""polis""]","[""6.19.11""]","https://wikidata.org/wiki/Q1058770","","","","https://pleiades.stoa.org/places/442658","",""
"2402","35.517333","24.019611","Kydonia","Crete","Crete","","[""polis""]","[""10.2.7"",""6.21.6"",""8.53.4""]","https://wikidata.org/wiki/Q1481525","","","","https://pleiades.stoa.org/places/589886","",""
"2403","37.6181","22.3933","Megaron of Dionysos near the spring of the Meliastai","Arcadia Bk8","Spring of the Meliastai 7 stades from Mantineia","Spring of the Meliastai 7 stades from Mantineia","[""megaron""]","[""8.6.5""]","","","","","","",""
"2404","37.4329","22.2652","Triodoi","Arcadia Bk8","Arcadia Bk8","","[""chorion""]","[""8.36.8""]","","","","","https://pleiades.stoa.org/places/573570","unlocated road junction with tomb of Arkas",""
"2405","38.375439","22.626059","Spring in well above agora of Antikyra, with roof and columns","Phokis Bk10","Antikyra","Antikyra","[""spring pege"",""well""]","[""10.36.10""]","","","","","","",""
"2406","37.9834","22.7145","Houses of the exiles in Sicyon","Sikyonia Bk2","Sicyon (Sikyonia)","Sicyon (Sikyonia)","[""house""]","[""2.8.3""]","","","","","","",""
