Serial,NAME,Work_CITED,WorkWD,Author,WORK_TYPE,TEXT_EN,Passages,LOGOS_USE,Greek_URL,NARRATIVE_LOC,GEOMETRY
132,Eoaeae/Catalogue of Women not listing Achilles as suitor of Helen,Catalogue of Women,,Hesiod,epic poem,lost,3.24.10,R-reference,,Tomb of Las at Arainon,"{""type"": ""Point"", ""coordinates"": [22.521276, 36.69704]}"
133,Great Eoeae fr. 190 Most on parentage of Chairon,"Great Eoeae, maybe by Hesiod",Q6808400,Hesiod,epic poem,"Phylas wedded a daughter of famous Iolaus, <br>Leipephilene, like in form to the Olympian goddesses; She bore him in the halls a son Hippotes, <br>And lovely Thero, like to the moonbeams. <br>Thero, falling into the embrace of Apollo, <br>Bore mighty Chaeron, tamer of horses.",9.40.5,R-quotation,,Chaironea (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.8416, 38.4944]}"
134,Great Eoeae fr. 197a Most) on Alcathus killed by Oenomaus,"Great Eoeae, maybe by Hesiod",Q6808400,Hesiod,epic poem,,6.21.10,R-paraphrase,,Tomb of the suitors of Hippodameia,"{""type"": ""Point"", ""coordinates"": [21.671, 37.645]}"
135,Great Eoeae fr.185 Most on Mycene as daugher of Inachus and wife of Arestor,"Great Eoeae, maybe by Hesiod",Q6808400,Hesiod,epic poem,,2.16.4,R-paraphrase,,Mycenae,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
136,Great Eoeae fr.195 Most on Hyettos,"Great Eoeae, maybe by Hesiod",Q6808400,Hesiod,epic poem,"“And Hyettus killed Molurus, the dear son of Arisbas, <br>In the halls, because of his wife's bed; <br>Leaving his home he fled from horse-breeding Argos, <br>And reached Minyan Orchomenus, and the hero <br>Welcomed him, and bestowed on him a portion of his possessions, as was fitting.”",9.36.7,R-quotation,,Orchomenos (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.959486, 38.495082]}"
137,Great Eoeae fr.196 Most on Epidaurus as son of Argus,"Great Eoeae, maybe by Hesiod",Q6808400,Hesiod,epic poem,,2.26.2,R-paraphrase,,Asklepieion of Epidauros,"{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}"
138,Great Eoeae on Peirene as daughter of Oebalus,"Great Eoeae, maybe by Hesiod",Q6808400,Hesiod,epic poem,,2.2.3,R-paraphrase,,Kenchreai (Korinthia),"{""type"": ""Point"", ""coordinates"": [22.9925, 37.8824]}"
139,Hesiod fr. 170 Most (Eoeae?): Hesiod makes Sicyon the son of Erechtheus,lost poems of Hesiod,,Hesiod,epic poem,,2.6.5,R-paraphrase,,Corinthia - Sikyonia border,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}"
140,Hesiod fr. 53B Most (Eoeae?) on Asclepius as son of Arsinoe,lost poems of Hesiod,,Hesiod,epic poem,,2.26.7,R-quotation,,Asklepieion of Epidauros,"{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}"
141,"Hesiod, Eoeae fr. 189B (Most): Children of Polycaon by Messene","Hesiod, Eoeae",Q1233074,Hesiod,didactic poem,"As I was extremely anxious to learn what children were born to Polycaon by Messene, I read the poem called Eoeae and the epic Naupactia, and in addition to these all the genealogies of Cinaethon and Asius. However, they made no reference to this matter, although I know that the Great Eoeae says that Polycaon, the son of Butes, married Euaichme, the daughter of Hyllus, son of Heracles, but it omits all reference to the husband of Messene and to Messene herself.",4.2.1,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:4.2.1,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
142,"Hesiod, Eoeae on Iphigenia as Hecate","Hesiod, Eoeae",Q1233074,Hesiod,didactic poem,4.103,1.43.1,R-paraphrase,,hero shrine of Iphigeneia in Megara,"{""type"": ""Point"", ""coordinates"": [23.34285, 37.997]}"
143,"Hesiod, Eoeae on killing of Meleager by Apollo","Hesiod, Eoeae",Q1233074,Hesiod,didactic poem,lost,10.31.3,R-paraphrase,,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
144,"Hesiod, Eoeae on Phaethon the son of Cephalus and Hemera","Hesiod, Eoeae",Q1233074,Hesiod,didactic poem,lost,1.3.1,R-paraphrase,,Royal Stoa (Athens Agora),"{""type"": ""Point"", ""coordinates"": [23.722336, 37.976123]}"
145,"Hesiod, lost, on plotting mischief",lost poems of Hesiod,,Hesiod,epic poem,,2.9.5,R-paraphrase,,Heroon of Aratos at Sikyon,"{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}"
146,"Hesiod, Theogony 116 on Chaos as firstborn","Hesiod, Theogony",Q156498,Hesiod,didactic poem,"Verily at the first Chaos came to be, but next wide-bosomed Earth, the ever-sure foundations of all the deathless ones who hold the peaks of snowy Olympus, and dim Tartarus in the depth of the wide-pathed Earth, and Eros (Love), fairest among the deathless gods, who unnerves the limbs and overcomes the mind and wise counsels of all gods and all men within them. From Chaos came forth Erebus and black Night; but of Night were born Aether and Day, whom she conceived and bare from union in love with Erebus. And Earth first bare starry Heaven, equal to herself, to cover her on every side, and to be an ever-sure abiding-place for the blessed gods. And she brought forth the long Ourea (Mountains), graceful haunts of the goddess-Nymphs who dwell amongst the glens of the mountains. She bare also the fruitless deep with his raging swell, Pontus, without sweet union of love.",9.27.2,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg001.perseus-grc2:115-135,sanctuary of Eros at Thespiai,"{""type"": ""Point"", ""coordinates"": [23.154521, 38.293384]}"
147,"Hesiod, Theogony 185 using the name Erinyes","Hesiod, Theogony",Q156498,Hesiod,didactic poem,"And Heaven came, bringing on night and longing for love, and he lay about Earth spreading himself full upon her. Then the son from his ambush stretched forth his left hand and in his right took the great long sickle with jagged teeth, and swiftly lopped off his own father's members and cast them away to fall behind him. And not vainly did they fall from his hand; for all the bloody drops that gushed forth Earth received, and as the seasons moved round she bare the strong Erinyes and the great Giants with gleaming armour, holding long spears in their hands and the Nymphs whom they call Meliae all over the boundless earth.",1.28.6,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg001.perseus-eng2:175-200,Semnai Theai shrine at the Areius Pagus,"{""type"": ""Point"", ""coordinates"": [23.72372, 37.97242]}"
148,"Hesiod, Theogony 383-404, on Styx as daughter of Ocean and wife of Pallas","Hesiod, Theogony",Q156498,Hesiod,didactic poem,"And Styx the daughter of Ocean was joined to Pallas and bare Zelus (Emulation) and trim-ankled Nike (Victory) in the house. Also she brought forth Cratos (Strength) and Bia (Force), wonderful children. These have no house apart from Zeus, nor any dwelling nor path except that wherein God leads them, but they dwell always with Zeus the loud-thunderer. For so did Styx the deathless daughter of Ocean plan on that day when the Olympian Asteropetes (Lightener) called all the deathless gods to great Olympus, and said that whosoever of the gods would fight with him against the Titans, he would not cast him out from his rights, but each should have the office which he had before amongst the deathless gods. And he declared that he who was without office and rights as is just. So deathless Styx came first to Olympus with her children through the wit of her dear father. And Zeus honoured her, and gave her very great gifts, for her he appointed to be the great oath of the gods, and her children to live with him always. And as he promised, so he performed fully unto them all. But he himself mightily reigns and rules.",8.18.1,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg001.perseus-grc2:386-403,Styx river (Achaia),"{""type"": ""Point"", ""coordinates"": [22.21, 37.98]}"
149,"Hesiod, Theogony 901 on Horai as daughters of Zeus","Hesiod, Theogony",Q156498,Hesiod,didactic poem,"Next he married bright Themis who bore the Horae (Hours), and Eunomia (Order), Dikë (Justice), and blooming Eirene (Peace), who mind the works of mortal men, and the Moerae (Fates) to whom wise Zeus gave the greatest honor,",5.11.7,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg001.perseus-eng2:901-905?q=901&qk=form&right=perseus-grc2,Temple of Zeus at Olympia,"{""type"": ""Point"", ""coordinates"": [21.63042, 37.63794]}"
150,"Hesiod, Theogony 907 on the Graces as daughters of Zeus and Eurynome","Hesiod, Theogony",Q156498,Hesiod,didactic poem,"And Eurynome, the daughter of Ocean, beautiful in form, bare him three fair-cheeked Charites (Graces), Aglaea, and Euphrosyne, and lovely Thaleia, from whose eyes as they glanced flowed love that unnerves the limbs: and beautiful is their glance beneath their brows.",9.35.5,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg001.perseus-grc2:900-915,Orchomenos (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.959486, 38.495082]}"
151,"Hesiod, Theogony 984-991 on Phaethon (Ehoiai mentioned by Pausanias but passage appears in Theogony))","Hesiod, Theogony",Q156498,Hesiod,didactic poem,"And Eos bore to Tithonus brazen-crested Memnon, king of the Ethiopians, and the Lord Emathion. And to Cephalus she bore a splendid son, strong Phaethon, a man like the gods, whom, when he was a young boy in the tender flower of glorious youth with childish thoughts, laughter-loving Aphrodite seized and caught up and made a keeper of her shrine by night, a divine spirit.",1.3.1,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg001.perseus-grc2:984-991/,Royal Stoa (Athens Agora),"{""type"": ""Point"", ""coordinates"": [23.722336, 37.976123]}"
152,"Hesiod, Works and Days 11, Boeotian version beginning with Strifes","Hesiod, Works and Days",Q667285,Hesiod,didactic poem,"So, after all, there was not one kind of Strife alone, but all over the earth there are two. As for the one, a man would praise her when he came to understand her; but the other is blameworthy: and they are wholly different in nature. For one fosters evil war and battle, being cruel: her no man loves; but perforce, through the will of the deathless gods, men pay harsh Strife her honour due. But the other is the elder daughter of dark Night, and the son of Cronos who sits above and dwells in the aether, set her in the roots of the earth: and she is far kinder to men. She stirs up even the shiftless to toil; for a man grows eager to work when he considers his neighbour, a rich man who hastens to plough and plant and put his house in good order; and neighbour vies with is neighbour as he hurries after wealth. This Strife is wholesome for men. And potter is angry with potter, and craftsman with craftsman, and beggar is jealous of beggar, and minstrel of minstrel.",9.31.4,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg002.perseus-eng2:10-60,Grove of the Muses on Mt. Helikon,"{""type"": ""Point"", ""coordinates"": [23.0587, 38.3208]}"
153,"Hesiod, Works and Days 60 - 105 on Pandora as first woman","Hesiod, Works and Days",Q667285,Hesiod,didactic poem,"So said the father of men and gods, and laughed aloud. And he bade famous Hephaestus make haste and mix earth with water and to put in it the voice and strength of human kind, and fashion a sweet, lovely maiden-shape, like to the immortal goddesses in face; and Athene to teach her needlework and the weaving of the varied web; and golden Aphrodite to shed grace upon her head and cruel longing and cares that weary the limbs. And he charged Hermes the guide, the Slayer of Argus, to put in her a shameless mind and a deceitful nature. So he ordered. And they obeyed the lord Zeus the son of Cronos. Forthwith the famous Lame God moulded clay in the likeness of a modest maid, as the son of Cronos purposed. And the goddess bright-eyed Athene girded and clothed her, and the divine Graces and queenly Persuasion put necklaces of gold upon her, and the rich-haired Horae crowned her head with spring flowers. And Pallas Athene bedecked her form with all manners of finery. Also the Guide, the Slayer of Argus, contrived within her lies and crafty words and a deceitful nature at the will of loud thundering Zeus, and the Herald of the gods put speech in her. And he called this woman Pandora (All Endowed), because all they who dwelt on Olympus gave each a gift, a plague to men who eat bread.But when he had finished the sheer, hopeless snare, the Father sent glorious Argus-Slayer, the swift messenger of the gods, to take it to Epimetheus as a gift. And Epimetheus did not think on what Prometheus had said to him, bidding him never take a gift of Olympian Zeus, but to send it back for fear it might prove to be something harmful to men. But he took the gift, and afterwards, when the evil thing was already his, he understood. For ere this the tribes of men lived on earth remote and free from ills and hard toil and heavy sicknesses which bring the Fates upon men; for in misery men grow old quickly. But the woman took off the great lid of the jar[*] with her hands
and scattered, all these and her thought caused sorrow and mischief to men. Only Hope remained there in an unbreakable home within under the rim of the great jar, and did not fly out at the door; for ere that, the lid of the jar stopped her, by the will of Aegis-holding Zeus who gathers the clouds. But the rest, countless plagues, wander amongst men; for earth is full of evils, and the sea is full. Of themselves diseases come upon men continually by day and by night, bringing mischief to mortals silently; for wise Zeus took away speech from them.",1.24.7,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg002.perseus-eng2:55-105,Parthenon of Athens,"{""type"": ""Point"", ""coordinates"": [23.72658434, 37.97155767]}"
154,"Mantica ascribed to Hesiod on interpretation of omens, read by Pausanias",Mantica ascribed to Hesiod,,Hesiod,didactic poem,lost,9.31.5,R-reference,,Grove of the Muses on Mt. Helikon,"{""type"": ""Point"", ""coordinates"": [23.0587, 38.3208]}"
155,"Hesiod, Theogony  776, 785 on Styx as daughter of Ocean and wife of Pallas","Hesiod, Theogony",Q156498,Hesiod,didactic poem,"And there dwells the goddess loathed by the deathless gods, terrible Styx, eldest daughter of backflowing[*]Ocean. She lives apart from the gods in her glorious house vaulted over with great rocks and propped up to heaven all round with silver pillars.
Rarely does the daughter of Thaumas, swift-footed Iris, come to her with a message over the sea's wide back. But when strife and quarrel arise among the deathless gods, and when any one of them who live in the house of Olympus lies, then Zeus sends Iris to bring in a golden jug the great oath of the gods
from far away, the famous cold water which trickles down from a high and beetling rock. Far under the wide-pathed earth a branch of Oceanus flows through the dark night out of the holy stream, and a tenth part of his water is allotted to her.
With nine silver-swirling streams he winds about the earth and the sea's wide back, and then falls into the main[*]; but the tenth flows out from a rock, a sore trouble to the gods. For whoever of the deathless gods that hold the peaks of snowy Olympus pours a libation of her water and is forsworn,
must lie breathless until a full year is completed, and never come near to taste ambrosia and nectar, but lie spiritless and voiceless on a strewn bed: and a heavy trance overshadows him. But when he has spent a long year in his sickness,
another penance more hard follows after the first. For nine years he is cut off from the eternal gods and never joins their councils or their feasts, nine full years. But in the tenth year he comes again to join the assemblies of the deathless gods who live in the house of Olympus.",8.18.1,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0020.tlg001.perseus-eng2:775-800,Styx river (Achaia),"{""type"": ""Point"", ""coordinates"": [22.21, 37.98]}"
156,Hieronymus of Cardia on Lysimachus' despoiling Epeirot graves,histories of Hieronymus of Cardia,,Hieronymus of Cardia,history,lost,1.9.8,R-paraphrase,,Odeion of Agrippa (Athens Agora),"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
157,"Hieronymus of Cardia, Histories on the death of Pyrrhus",histories of Hieronymus of Cardia,,Hieronymus of Cardia,history,,1.13.9,R-reference,,Odeion of Agrippa (Athens Agora),"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
158,Elegy by Hippias on memorial of the Messenians,Elegy by Hippias on memorial of the Messenians,,Hippias,elegiac poem,,5.25.4,R-reference,,,
159,"Homer, Iliad 13.610-655 on bronze axe of Peisander and bronze arrow of Meriones",Homer's Iliad,Q8275,Homer,epic poem,"But the son of Atreus drew his silver-studded sword, and leapt upon Peisander; and he from beneath his shield grasped a goodly axe of fine bronze, set on a haft of olive-wood, long and well-polished; and at the one moment they set each upon the other. Peisander verily smote Menelaus upon the horn of his helmet with crest of horse-hair —on the topmost part beneath the very plume; but Menelaus smote him as he came against him, on the forehead above the base of the nose; and the bones crashed loudly, and the two eyeballs, all bloody, fell before his feet in the dust, and he bowed and fell; and Menelaus set his foot upon his breast, and despoiled him of his arms, and exulted, saying: “ln such wise of a surety shall ye leave the ships of the Danaans, drivers of swift horses, ye overweening Trojans, insatiate of the dread din of battle. Aye, and of other despite and shame lack ye naught, wherewith ye have done despite unto me, ye evil dogs,1 and had no fear at heart of the grievous wrath of Zeus, that thundereth aloud, the god of hospitality, who shall some day destroy your high city. For ye bare forth wantonly over sea my wedded wife and therewithal much treasure, when it was with her that ye had found entertainment; and now again ye are full fain to fling consuming fire on the sea-faring ships, and to slay the Achaean warriors. Nay, but ye shall be stayed from your fighting, how eager soever ye be! Father Zeus, in sooth men say that in wisdom thou art above all others, both men and gods, yet it is from thee that all these things come; in such wise now dost thou shew favour to men of wantonness, even the Trojans, whose might is always froward,nor can they ever have their fill of the din of evil war. Of all things is there satiety, of sleep, and love, and of sweet song, and the goodly dance; of these things verily a man would rather have his fill than of war; but the Trojans are insatiate of battle.”
With this peerless Menelaus stripped from the body the bloody armour and gave it to his comrades, and himself went back again, and mingled with the foremost fighters. Then there leapt forth against him the son of king Pylaemenes, even Harpalion, that followed his dear father to Troy unto the war, but came not back again to his dear native land. He then thrust with his spear full upon the shield of the son of Atreus, from nigh at hand, yet availed not to drive the bronze clean through, and back he shrank into the throng of his comrades, avoiding fate, glancing warily on every side, lest some man should wound his flesh with the bronze. But as he drew back, Meriones let fly at him a bronze-tipped arrow, and smote him on the right buttock, and the arrow passed clean through even to the bladder beneath the bone. And sitting down where he was in the arms of his dear comrades he breathed forth his life, and lay stretched out like a worm on the earth; and the black blood flowed forth and wetted the ground.",3.3.8,R-reference,https://www.perseus.tufts.edu/hopper/text?doc=Hom.+Il.+13.610&fromdoc=Perseus%3Atext%3A1999.01.0134,Argolid - Lakonia border at the Hermai,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.527643966812064, 37.31460354773594], [22.53453084312804, 37.3070246533447], [22.538351342393554, 37.307297362478295], [22.530631002613234, 37.3160985404418], [22.527643966812064, 37.31460354773594]]]}]}"
160,"Homer, Catalogue 2.498 on Graia/Tanagra",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"and Arcesilaus and Prothoenor and Clonius; these were they that dwelt in Hyria and rocky Aulis and Schoenus and Scolus and Eteonus with its many ridges, Thespeia, Graea, and spacious Mycalessus; and that dwelt about Harma and Eilesium and Erythrae;",9.20.2,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.495-2.505,Tanagra (Boeotia),"{""type"": ""Point"", ""coordinates"": [23.5841, 38.3074]}"
161,"Homer, Iliad Catalogue 2.519 naming Delphi as Pytho",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"And of the Phocians Schedius and Epistrophus were captains, sons of great-souled Iphitus, son of Naubolus; these were they that held Cyparissus and rocky Pytho, and sacred Crisa and Daulis and Panopeus;",10.6.5,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.511,Entry to Delphi from Chaironea road,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.50908625671846, 38.4807561049775], [22.508670068724086, 38.47934011797474], [22.509390394099455, 38.47916468402025], [22.509790574863842, 38.48064332827158], [22.50908625671846, 38.4807561049775]]]}]}"
162,"Homer, Iliad Catalogue 2.519 on Kyparissos",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"for he lay with her in secret. And with these were ranged thirty hollow ships. And of the Phocians Schedius and Epistrophus were captains, sons of great-souled Iphitus, son of Naubolus; these were they that held Cyparissus and rocky Pytho,and sacred Crisa and Daulis and Panopeus; and that dwelt about Anemoreia and Hyampolis, and that lived beside the goodly river Cephisus, and that held Lilaea by the springs of Cephisus. With these followed forty black ships.",10.36.5,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.511,sanctuary of Artemis Diktynnaia near Ambrossos,"{""type"": ""Point"", ""coordinates"": [22.6555, 38.4156]}"
163,"Homer, Catalogue 2.519-523 as source for names of Phocian cities",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"And of the Phocians Schedius and Epistrophus were captains, sons of great-souled Iphitus, son of Naubolus; these were they that held Cyparissus and rocky Pytho, and sacred Crisa and Daulis and Panopeus; and that dwelt about Anemoreia and Hyampolis, and that lived beside the goodly river Cephisus, and that held Lilaea by the springs of Cephisus. With these followed forty black ships.",10.3.1,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.459-2.511,border Boiotia - Phokis at Chaironea,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.816987932397836, 38.504250343320365], [22.8182268893938, 38.49955405008339], [22.822928938451724, 38.50072097458943], [22.8210186478411, 38.504983837002214], [22.816987932397836, 38.504250343320365]]]}]}"
164,"Homer, Iliad Catalogue 2.560 on Diomedes as commander of the Troezenians",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"And they that held Argos and Tiryns, famed for its walls,<br>§ 2.560  and Hermione and Asine, that enfold the deep gulf, Troezen and Eionae and vine-clad Epidaurus, and the youths of the Achaeans that held Aegina and Mases,—these again had as leaders Diomedes, good at the war-cry, and Sthenelus, dear son of glorious Capaneus.",2.30.10,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.560-2.568/,Troizenia Bk2,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[23.19780778006509, 37.59809828850378], [23.163184886839673, 37.5384304367699], [23.178660270932284, 37.52491017417141], [23.282791245253804, 37.49203531759909], [23.350466377566704, 37.46200132121156], [23.344022835271062, 37.41288108636306], [23.417669773540837, 37.40313109413597], [23.574036098997823, 37.43534362846478], [23.535611609465747, 37.52554963514315], [23.38557373910379, 37.65854638850779], [23.19780778006509, 37.59809828850378]]]}]}"
165,"Homer, Iliad Catalogue 2.563 on Mases as city",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"and Hermione and Asine, that enfold the deep gulf, Troezen and Eionae and vine-clad Epidaurus, and the youths of the Achaeans that held Aegina and Mases,—these again had as leaders Diomedes, good at the war-cry, and Sthenelus, dear son of glorious Capaneus.",2.36.2,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.562/,Kokkygion mountain,"{""type"": ""Point"", ""coordinates"": [23.2236, 37.3888]}"
166,"Homer, Iliad Catalogue 2.569-580 on Orneae and Araethyrea among Agammemnon's subjects",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"And with them came a third, Euryalus, a godlike warrior, son of king Mecisteus, son of Talaus; but leader over them all was Diomedes, good at the war-cry. And with these there followed eighty black ships. And they that held Mycenae, the well-built citadel, and wealthy Corinth, and well-built Cleonae, and dwelt in Orneiae and lovely Araethyrea and Sicyon, wherein at the first Adrastus was king; and they that held Hyperesia and steep Gonoessa and Pellene,",2.12.5,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.546-2.581,Phlious,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
167,"Homer, Iliad Catalogue 2.571 leaves out Lyrcea in the Ship Catalogue, mentions Orneae",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"and wealthy Corinth, and well-built Cleonae, and dwelt in Orneiae and lovely Araethyrea and Sicyon, wherein at the first Adrastus was king; and they that held Hyperesia and steep Gonoessa and Pellene,",2.25.5,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.570-2.575/,Lyrkeia,"{""type"": ""Point"", ""coordinates"": [22.631257, 37.692676]}"
168,"Homer, Iliad Catalogue 2.574 on Hyperesia as earlier name of Aigeira",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"and wealthy Corinth, and well-built Cleonae, and dwelt in Orneiae and lovely Araethyrea and Sicyon, wherein at the first Adrastus was king; and they that held Hyperesia and steep Gonoessa and Pellene,and that dwelt about Aegium and throughout all Aegialus, and about broad Helice,",7.26.2,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.546-2.581,Aigeira (Achaia),"{""type"": ""Point"", ""coordinates"": [22.3777, 38.1286]}"
169,"Homer, Iliad Catalogue 2.574: Homer's Ship Catalog mentioning Donoessa/Gonoessa",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"and wealthy Corinth, and well-built Cleonae, and dwelt in Orneiae and lovely Araethyrea and Sicyon, wherein at the first Adrastus was king; and they that held Hyperesia and steep Gonoessa and Pellene,and that dwelt about Aegium and throughout all Aegialus, and about broad Helice,",7.26.13,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.546-2.581,"road port of the Aigeiratai to Aristonautai, 120 stades","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[22.355316744116493, 38.14892582708933], [22.374218656725873, 38.14172678763529], [22.389530623170145, 38.135073488446835], [22.414620471975752, 38.12852268904018], [22.432256090989455, 38.13428101338792], [22.455109410054007, 38.127109914822455], [22.493587084530986, 38.132843558419694], [22.54163559432473, 38.1036882043949], [22.621924781721646, 38.078416436290155]]}]}"
170,"Homer, Iliad Catalogue 2.575 on Helike and Aigialeus",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"and wealthy Corinth, and well-built Cleonae, and dwelt in Orneiae and lovely Araethyrea and Sicyon, wherein at the first Adrastus was king; and they that held Hyperesia and steep Gonoessa and Pellene, and that dwelt about Aegium and throughout all Aegialus, and about broad Helice,—of these was the son of Atreus, lord Agamemnon, captain, with an hundred ships. With him followed most people by far and goodliest; and among them he himself did on his gleaming bronze, a king all-glorious, and was pre-eminent among all the warriors, for that he was noblest, and led a people far the most in number.",7.1.4,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.575?right=perseus-eng3,Eleia - Achaia border at Larisos river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[21.417484105225526, 38.10291174798513], [21.42525995805383, 38.09244438760399], [21.429829800275428, 38.095387083549724], [21.42206202659756, 38.10509343476093], [21.417484105225526, 38.10291174798513]]]}]}"
171,"Homer, Ιliad Catalogue 2.583 on Pharis or Pharae",Homer's Ship Catalogue (Iliad Book 2),Q1233048,Homer,epic poem,"for that he was noblest, and led a people far the most in number. And they that held the hollow land of Lacedaemon with its many ravines, and Pharis and Sparta and Messe, the haunt of doves, and that dwelt in Bryseiae and lovely Augeiae, and that held Amyclae and Helus, a citadel hard by the sea, and that held Laas, and dwelt about Oetylus,—these were led by Agamemnon's brother, even Menelaus, good at the war-cry, with sixty ships; and they were marshalled apart.",4.16.8,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg001.perseus-eng3:2.546-2.581,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
