Serial,NAME,Work_CITED,WorkWD,Author,WORK_TYPE,TEXT_EN,Passages,LOGOS_USE,Greek_URL,NARRATIVE_LOC,GEOMETRY
453,Praxilla (fr. 753 PMG): on Carneus as son of Europa and Zeus,lost poem of Praxilla,,Praxilla,poem (unspecified),,3.13.5,R-paraphrase,,Heroon of Karneios in Sparta near Skias,"{""type"": ""Point"", ""coordinates"": [22.4237, 37.0821]}"
454,"Procles of Carthage, lost work on Medusa near Lake Tritonis",lost work of Procles of Carthage,,Procles of Carthage,history,,2.21.6,R-paraphrase,,Agora of Argos,"{""type"": ""Point"", ""coordinates"": [22.7214, 37.6305]}"
455,"Procles of Carthage, lost work: Procles' comparison of Alexander to Pyrrhus",lost work of Procles of Carthage,,Procles of Carthage,history,,4.35.4,R-paraphrase,,Methone/Mothone (Messenian),"{""type"": ""Point"", ""coordinates"": [21.705, 36.817]}"
456,"Prodicus?, Minyad fr. 4 West:  on Thamyris punished in Hades for boast",Minyad of Prodicus of Phocaea or someone else,Q6871244,Prodicus of Phocaea,epic poem,,4.33.7,R-paraphrase,,Dorion,"{""type"": ""Point"", ""coordinates"": [21.88255, 37.26708]}"
457,"Prodicus?, Minyad fr.3 West on punishment of Amphion",Minyad of Prodicus of Phocaea or someone else,Q6871244,Prodicus of Phocaea,epic poem,,9.5.9,R-reference,,Platais - Thebais border at Asopos river,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[23.282037585248275, 38.262346911330866], [23.28341770612292, 38.259214861874426], [23.29430988663492, 38.26282873800801], [23.29139528312203, 38.266562673068336], [23.282037585248275, 38.262346911330866]]]}]}"
458,"Prodicus?, Minyad on killing of Meleager by Apollo",Minyad of Prodicus of Phocaea or someone else,Q6871244,Prodicus of Phocaea,epic poem,,10.31.3,R-paraphrase,,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
459,"Prodicus?, Minyad on Theseus and Peirithous in Hades",Minyad of Prodicus of Phocaea or someone else,Q6871244,Prodicus of Phocaea,epic poem,"Then the boat on which embark the dead, that the old ferryman, Charon, used to steer, they found not within its moorings.",10.28.2,R-quotation,,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
460,"Prodicus?, Minyad with no reference to Eurynomos in Hades",Minyad of Prodicus of Phocaea or someone else,Q6871244,Prodicus of Phocaea,epic poem,,10.28.7,R-reference,,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
461,Oracle of Apollo at Delphi on Arcadian acorn eaters,Oracles of Apollo at Delphi,,Pythia,prophecy,"“In Arcadia are many men who eat acorns, <br>Who will prevent you; though I do not grudge it you.”",8.1.6,R-quotation,,Argolid - Arkadia border near Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.475774354441114, 37.654310963973046], [22.507440284004105, 37.571411550419754], [22.521537982781183, 37.57134643717862], [22.488651704535528, 37.65540068883523], [22.475774354441114, 37.654310963973046]]]}]}"
462,Oracle of Apollo at Delphi on bones of Arcas,Oracles of Apollo at Delphi,,Pythia,prophecy,"“Maenalia is storm-swept, where lies <br>Arcas, from whom all Arcadians are named, <br>In a place where meet three, four, even five roads; <br>Thither I bid you go, and with kind heart <br>Take up Arcas and bring him back to your lovely city. <br>There make Arcas a precinct and sacrifices.”",8.9.3,R-quotation,,temple of Hera by the theater of Mantineia,"{""type"": ""Point"", ""coordinates"": [22.3933, 37.6181]}"
463,Oracle of Apollo at Delphi on capture of Kirra,Oracles of Apollo at Delphi,,Pythia,prophecy,"You will not take and throw down the tower of this city,Until on my precinct shall dash the wave Of blue-eyed Amphitrite, roaring over the winedark sea.",10.37.6,R-quotation,,Kirra,"{""type"": ""Point"", ""coordinates"": [22.450621, 38.428937]}"
464,Oracle of Apollo at Delphi on capturing Keressos,Oracles of Apollo at Delphi,,Pythia,prophecy,,9.14.3,R-quotation,,Agora in the acropolis of Thebes,"{""type"": ""Point"", ""coordinates"": [23.3178, 38.3209]}"
465,Oracle of Apollo at Delphi on Cleomedes of Astypalaea as hero,Oracles of Apollo at Delphi,,Pythia,prophecy,Last of heroes is Cleomedes of Astypalaea; Honor him with sacrifices as being no longer a mortal.”,6.9.7,R-quotation,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
466,Oracle of Apollo at Delphi on Erginos' child-bearing,Oracles of Apollo at Delphi,,Pythia,prophecy,"“Erginus, son of Clymenus Presboniades, <br>Late thou camest seeking offspring, but even now <br>To the old plough-tree put a new tip.”",9.37.4,R-quotation,,Orchomenos (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.959486, 38.495082]}"
467,Oracle of Apollo at Delphi on lame kingship of Sparta,Oracles of Apollo at Delphi,,Pythia,prophecy,,3.8.9,R-quotation,,Argolid - Lakonia border at the Hermai,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.527643966812064, 37.31460354773594], [22.53453084312804, 37.3070246533447], [22.538351342393554, 37.307297362478295], [22.530631002613234, 37.3160985404418], [22.527643966812064, 37.31460354773594]]]}]}"
468,Oracle of Apollo at Delphi on Philip II of Macedon's death,Oracles of Apollo at Delphi,,Pythia,prophecy,“The bull is crowned; the consummation is at hand; the sacrificer is ready.”,8.7.6,R-quotation,,Philippion spring near Nestane,"{""type"": ""Point"", ""coordinates"": [22.461269, 37.616101]}"
469,Oracle of Apollo at Delphi on statue of Theagenes of Thasos,Oracles of Apollo at Delphi,,Pythia,prophecy,“But you have forgotten your great Theagenes.”,6.11.8,R-quotation,,Olympia,"{""type"": ""Point"", ""coordinates"": [21.630126, 37.637849]}"
470,Oracle of Apollo at Delphi rejecting Persian spoils offered by Themistocles,Oracles of Apollo at Delphi,,Pythia,prophecy,The splendid beauty of the Persian's spoils Set not within my temple. Despatch them home speedily.,10.14.5,R-quotation,,Sanctuary of Pythian Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.50151, 38.48254]}"
