person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q20851773,Butas of Miletus,male,ancient Greek athlete,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q1301972,Butes,male,"Argonaut, son of Teleon in Greek Mythology",mythological Greek character,,Teleon,Zeuxippe,,,http://www.wikidata.org/entity/Q7696424,http://www.wikidata.org/entity/Q3575332,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q1301972,Butes,male,"Argonaut, son of Teleon in Greek Mythology",mythological Greek character,,Poseidon,Zeuxippe,,,http://www.wikidata.org/entity/Q41127,http://www.wikidata.org/entity/Q3575332,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q13156677,Butes,male,"mythical hero in Athens, son of Pandion",mythological Greek character,,Pandion I,Zeuxippe,,,http://www.wikidata.org/entity/Q865111,http://www.wikidata.org/entity/Q1641282,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q855426,Byblis,female,"mythological character from Miletus, transformed into a spring",mythological Greek character,,Asterius,Cyanee,,https://en.wikipedia.org/wiki/Byblis,http://www.wikidata.org/entity/Q42372544,http://www.wikidata.org/entity/Q15543320,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q855426,Byblis,female,"mythological character from Miletus, transformed into a spring",mythological Greek character,,Miletus,Cyanee,,https://en.wikipedia.org/wiki/Byblis,http://www.wikidata.org/entity/Q2470261,http://www.wikidata.org/entity/Q15543320,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q19359640,Bykelos of Sicyon,male,ancient Greek olympian,human,,,,Sicyon,,,,http://www.wikidata.org/entity/Q368628,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043528,Bykelos statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,classical antiquity
http://www.wikidata.org/entity/Q106956846,Byzantine Treasury (IV),,sacred building at the sanctuary of Zeus at Olympia,treasury (ancient Greece),,,,,,,,,,
http://www.wikidata.org/entity/Q27613,Cadmus,male,"mythological founder of Thebes, son of Agenor",legendary founder,,Agenor,Telephassa,,https://en.wikipedia.org/wiki/Cadmus,http://www.wikidata.org/entity/Q392631,http://www.wikidata.org/entity/Q853437,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q27613,Cadmus,male,"mythological founder of Thebes, son of Agenor",mythological Greek character,,Agenor,Telephassa,,https://en.wikipedia.org/wiki/Cadmus,http://www.wikidata.org/entity/Q392631,http://www.wikidata.org/entity/Q853437,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q2991388,Caerus,male,"mythical son of Zeus, personification of Kairos, the opportune moment",Greek deity,,Zeus,,,https://en.wikipedia.org/wiki/Caerus,http://www.wikidata.org/entity/Q34201,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q2991388,Caerus,male,"mythical son of Zeus, personification of Kairos, the opportune moment",personification,,Zeus,,,https://en.wikipedia.org/wiki/Caerus,http://www.wikidata.org/entity/Q34201,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q124830138,Calades,male,Athenian lawgiver whose portrait statue was seen by Pausanias,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q893473,Calais,male,mythical son of Boreas,mythological Greek character,,Boreas,Orithyia,,,http://www.wikidata.org/entity/Q109220,http://www.wikidata.org/entity/Q1129489,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q126127861,Calaus the Phrygian,male,father of Attis in Greek mythology,mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q103975,Calliope,female,muse of epic poetry,mythological Greek character,,Zeus,Mnemosyne,,https://en.wikipedia.org/wiki/Calliope,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q102884,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q11910956,Callippus of Eleusis,male,"military, son of Moerocles",human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q56452489,Calliste,,epithet of the goddess Artemis,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q16183231,Callistonicus,male,ancient sculptor of Thebes,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q531775,Callistratus of Aphidnae,male,Athenian orator and general,human,-0354-01-01T00:00:00Z,,,Aphidna,https://en.wikipedia.org/wiki/Callistratus_of_Aphidnae,,,http://www.wikidata.org/entity/Q618453,http://www.wikidata.org/entity/Q6581097,classical antiquity
http://www.wikidata.org/entity/Q1451668,Callon of Elis,male,griechischer Bronzebildner,human,-0400-01-01T00:00:00Z,,,Elis,,,,http://www.wikidata.org/entity/Q217667,http://www.wikidata.org/entity/Q6581097,
