Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
23.581173,38.30019833,"Asopos (river)","Boiotia Bk9","Boiotia Bk9",['potamos'],"['2.5.2','2.6.1','2.6.4','5.14.3','9.1.1','9.1.2','9.3.7','9.4.4','9.8.1']",NULL,https://pleiades.stoa.org/places/540672,NULL,https://wikidata.org/wiki/Q2737429,NULL,NULL,NULL,NULL
31.58297,39.33149,Pessinous/Iustinianoupolis,"Asia Minor (Asia)",Phrygia,['settlement'],"['1.4.5','7.17.10','7.17.11']",NULL,https://pleiades.stoa.org/places/609500,NULL,https://wikidata.org/wiki/Q728353,NULL,NULL,NULL,NULL
12.432028,44.952389,"sands of the Eridanus river, source of amber","Italia (Europe)","Padus/Eridanus (river)",['potamos'],['5.12.7'],"Padus/Eridanus (river)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
15.885196,42.7752864,"Adriaticum/Superum Mare",NULL,"Internum Mare",['thalassa'],['8.54.3'],NULL,https://pleiades.stoa.org/places/1004,NULL,https://wikidata.org/wiki/Q13924,NULL,NULL,NULL,NULL
27.453939999999996,38.5668,"Tomb of Tantalus son of Zeus on Mt. Sipylos","Asia Minor (Asia)",Sipylos,['mnema'],"['2.22.3','5.13.7']",Sipylos,NULL,NULL,NULL,https://resource.manto.unh.edu/10186979,NULL,NULL,NULL
26.23873,39.9577,"Walls of Troy, destroyed by Epeios","Asia Minor (Asia)",Ilium,['teichos'],['10.26.2'],Ilium,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.3178,38.3191,"Sanctuary of Zeus Hypsistos at Thebes","Boiotia Bk9","Thebes (Boeotia)",['hieron'],['9.8.5'],"Thebes (Boeotia)",NULL,NULL,https://wikidata.org/wiki/Q134037867,https://resource.manto.unh.edu/10771941,NULL,NULL,NULL
22.9925,37.8824,"Sanctuary of Isis at Kenchreai harbor","Corinthia Bk2","Kenchreai (Korinthia)",['hieron'],['2.2.3'],"Kenchreai (Korinthia)",NULL,NULL,https://wikidata.org/wiki/Q134037640,NULL,NULL,NULL,NULL
22.7195,37.6316,"Tomb of the maenad Choreia at Argos","Argolid Bk2","Argos (Argolid)",['mnema'],['2.20.4'],"Argos (Argolid)",NULL,NULL,NULL,https://resource.manto.unh.edu/10185322,NULL,NULL,NULL
21.630126,37.637849,"fence surrounding the altar of Zeus Kataibatos in Olympia","Eleia Bk5 Bk6",Olympia,['toichos'],['5.14.10'],Olympia,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.50151,38.48254,"Second temple of Apollo at Delphi, of beeswax and feathers","Phokis Bk10","Sanctuary of Pythian Apollo at Delphi",['naos'],['10.5.9'],"Sanctuary of Pythian Apollo at Delphi",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.19618,37.62492,Phalanthon,"Arcadia Bk8","Phalanthon Mons",['polis'],['8.35.9'],"Phalanthon Mons",https://pleiades.stoa.org/places/573443,NULL,https://wikidata.org/wiki/Q16331956,NULL,NULL,NULL,NULL
22.4237,37.0821,"Sanctuary of Kastor built over his tomb in Sparta","Lakonia Bk3",Sparta,['hieron'],['3.13.1'],Sparta,NULL,NULL,https://wikidata.org/wiki/Q124616439,NULL,NULL,NULL,NULL
21.997485,37.549082,Bouphagion,"Arcadia Bk8","Arcadia Bk8",['settlement'],['8.26.8'],NULL,https://pleiades.stoa.org/places/570164,NULL,https://wikidata.org/wiki/Q60791755,NULL,NULL,NULL,NULL
22.1273,37.4124,"Bouleuterion of Megalopolis left of portrait of Polybios","Arcadia Bk8","Megalopolis (Arkadia)",['bouleuterion'],['8.30.9'],"Megalopolis (Arkadia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.034484,38.512851,Aspledon,"Boiotia Bk9","Boiotia Bk9",['polis'],['9.38.9'],NULL,https://pleiades.stoa.org/places/540673,https://topostext.org/place/385230UAsp,https://wikidata.org/wiki/Q12874125,NULL,NULL,NULL,NULL
23.088,36.787,Zarax,"Lakonia Bk3","Lakonia Bk3",['polis'],"['1.38.4','3.21.7','3.24.1','3.24.2']",NULL,https://pleiades.stoa.org/places/570761,NULL,https://wikidata.org/wiki/Q11955563,NULL,NULL,NULL,NULL
26.2536135,37.6136166,"promontory of Ikaria island on which Ikaros was buried","Aegean Sea (Hellas)","Ikaros (island)",['akra'],['9.11.5'],"Ikaros (island)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.657,37.671,"Cave of Pholus the centaur","Eleia Bk5 Bk6","Pholoe Mt. (Eleia)","['mythical place','spelaion']",['3.18.10'],"Pholoe Mt. (Eleia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.450621,38.428937,"Pipe carrying water of Pleistos river to Kirra","Phokis Bk10",Kirra,['aqueduct'],['10.37.7'],Kirra,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.724777,37.439599,"Temple of Zeus Leucaeus, Lepreon","Eleia Bk5 Bk6",Lepreon,['naos'],['5.5.5'],Lepreon,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.2505528,38.1850025,"Kithairon (mountain)","Boiotia Bk9",Plataiis,['oros'],"['1.38.8','1.38.9','1.41.4','1.41.6','10.5.3','9.1.2','9.13.7','9.2.1','9.2.4','9.3.7','9.3.9']",NULL,https://pleiades.stoa.org/places/540714,NULL,https://wikidata.org/wiki/Q1147780,NULL,Cithaeron,NULL,NULL
16.2544973,39.3801999,"Crathis/Crater (river)","Italia (Europe)","Italia (Europe)",['potamos'],"['7.25.11','8.15.9']",NULL,https://pleiades.stoa.org/places/452315,NULL,https://wikidata.org/wiki/Q660005,NULL,NULL,NULL,NULL
26.75261,38.6684,"Temple of Athena at Phokaia","Asia Minor (Asia)",Phocaea,['naos'],['7.5.4'],Phocaea,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.262624,37.766264,"Plain of Kaphyai","Arcadia Bk8",Kaphyai,['pedion'],"['8.23.2','8.23.3']",Kaphyai,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21.9195,37.1779,"Temple of Messene in Messene","Messenia Bk4","Messene (Messenia)",['naos'],['4.31.11'],"Messene (Messenia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.8947,37.9046,"Tomb of Lais at Craneion grove, Corinth","Corinthia Bk2",Kraneion,['mnema'],['2.2.4'],Kraneion,NULL,NULL,NULL,NULL,NULL,NULL,NULL
