"nodegoat ID",Identifier,Sort_order,"[AnimationClock] Location Reference","[AnimationClock] Date Start","[Location] Geometry"
ngEL1A889GLE8ErA1E961NLNIEdTuMrBTGMo8ILA,1.8.3,41,"Agora of Athens",10-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}"
ngFM1F980FcF0Fsd2FO79OMOJFeUvNsGUFdp0JMd,1.8.4,42,"Agora of Athens",11-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}"
ngGN2G081GNG1Gtw3H18rPNVKHZVwOtHVGOq1KNw,1.8.5,43,"Agora of Athens",12-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}"
ngHO2D182IeH3HuD4H291QOULJAWxPuEWIfr3LOD,1.8.6,44,"Agora of Athens",13-08-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}"
ngIP2E283JPI3Ivg5Ih05RPVMIBXyQvFXJQs3MPg,1.9.1,45,"Odeion of Agrippa (Athens Agora)",14-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngJQ2F384LAJ7JwJ6JC1tSQWNLCYzRwGYLBt7NQJ,1.9.2,46,"Odeion of Agrippa (Athens Agora)",15-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngKR2G485LxK5KxS7L525TRXOMDZaSxHZL4u5ORS,1.9.3,47,"Odeion of Agrippa (Athens Agora)",16-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngLS2H586LiLyLyL8Lk36USYPMEAbTyIALjvyPSL,1.9.4,48,"Odeion of Agrippa (Athens Agora)",17-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngMT2I687MTMzMzE9MF4wVTRQMFBcUzJBMUwzQTE,1.9.5,49,"Odeion of Agrippa (Athens Agora)",18-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngNU2J788OEN7Nal0NG5xWUKRPGCdVaKCOFx7RUl,1.9.6,50,"Odeion of Agrippa (Athens Agora)",19-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngOV2K889PFO1Obe1QX6aXVTSQHDeWbLDPGy1SVe,1.9.7,51,"Odeion of Agrippa (Athens Agora)",20-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngPW2L980PcP3PcH2RI7aYWgTPoEfXcMEP9z3TWH,1.9.8,52,"Odeion of Agrippa (Athens Agora)",21-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngQX3I081SHQ2QdE3SZ80ZXJURpFgYdJFSIa2UXE,1.10.1,53,"Odeion of Agrippa (Athens Agora)",22-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngRY3J182SeReReN4SK94AYAVSqGhZeKGS1beVYN,1.10.2,54,"Odeion of Agrippa (Athens Agora)",23-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngSZ3O283SJS2Sfm5UL02BZLWTrHiAfPHSKc2WZm,1.10.3,55,"Odeion of Agrippa (Athens Agora)",24-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngTA3L384VAT3Tgj6VM1dCAUXUsIjBgMIVBd3XAj,1.10.4,56,"Odeion of Agrippa (Athens Agora)",25-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngUB3Y485VhU8UhM7VD27DBDYUtJkChZJV4e8YBM,1.10.5,57,"Odeion of Agrippa (Athens Agora)",26-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngVC3Z586WiVgViN8V638ECSZWOKlDiAKW5fgZCN,1.11.1,58,"Odeion of Agrippa (Athens Agora)",27-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngWD3E687WNWiWjq9XF4jFDJAWPLmEjFLWOgiADq,1.11.2,59,"Odeion of Agrippa (Athens Agora)",28-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngXE3B788ZEXjXkn0XG5iGECBZQMnFkCMZFhjBEn,1.11.3,60,"Odeion of Agrippa (Athens Agora)",29-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngYF3C889YlY1Yls1Z963HFVCARNoGlDNY8i1CFs,1.11.4,61,"Odeion of Agrippa (Athens Agora)",30-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngZG3D980ZwZ2ZmL2AI70IGWDASOpHmEOZxj2DGL,1.11.5,62,"Odeion of Agrippa (Athens Agora)",31-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngAH4E081BHA5AnE3BJ8nJHFEBTPqInFPBIk5EHE,1.11.6,63,"Odeion of Agrippa (Athens Agora)",01-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngBI4F182CSBnBoP4Ba96KICFBaQrJoGQCTlnFIP,1.11.7,64,"Odeion of Agrippa (Athens Agora)",02-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngCJ4C283ETC7Cps5EV0mLJHGCVRsKpDREUm7GJs,1.12.1,65,"Odeion of Agrippa (Athens Agora)",03-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngDK4D384EqD8DqP6E415MKQHDWStLqESE3n8HKP,1.12.2,66,"Odeion of Agrippa (Athens Agora)",04-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngEL4I485ELEpErE7GN25NLFIFdTuMrJTEMopILE,1.12.3,67,"Odeion of Agrippa (Athens Agora)",05-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngFM4F586HMF9FsJ8Ge36OMOJGeUvNsGUHNp9JMJ,1.12.4,68,"Odeion of Agrippa (Athens Agora)",06-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngGN4G687HXG8Gte9HP4tPNTKIZVwOtHVHYq8KNe,1.12.5,69,"Odeion of Agrippa (Athens Agora)",07-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngHO4H788HuH9Hub0IQ5sQOWLJAWxPuIWH7r9LOb,1.13.1,70,"Odeion of Agrippa (Athens Agora)",08-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngIP4I889JvItIvA1IR61RPBMIhXyQvJXJ8stMPA,1.13.2,71,"Odeion of Agrippa (Athens Agora)",09-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngJQ4J980KgJtJwd2LS7wSQKNJiYzRwKYKhttNQd,1.13.3,72,"Odeion of Agrippa (Athens Agora)",10-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngKR5W081LBK0KxK3LD85TRTOKjZaSxXZLCu0ORK,1.13.4,73,"Odeion of Agrippa (Athens Agora)",11-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngLS5X182LyL1LyD4Lk92UScPLkAbTyYAL1v1PSD,1.13.5,74,"Odeion of Agrippa (Athens Agora)",12-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngMT5Y283NjMzMzg5M303VTBQNFBcUzZBNkwzQTg,1.13.6,75,"Odeion of Agrippa (Athens Agora)",13-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngNU5Z384OUNaNaZ6PW1yWUORNmCdVaACOVxaRUZ,1.13.7,76,"Odeion of Agrippa (Athens Agora)",14-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngOV5A485OFOzObW7On24XVTSOHDeWbBDOGyzSVW,1.13.8,77,"Odeion of Agrippa (Athens Agora)",15-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngPW5B586PGP5PcP8P63cYWQTPoEfXcCEPHz5TWP,1.13.9,78,"Odeion of Agrippa (Athens Agora)",16-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngQX5Y687SXQ6QdI9QJ40ZXlUQJFgYdZFSYa6UXI,1.14.1,79,"Odeion of Agrippa (Athens Agora)",17-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
ngRY5D788RoR8Rep0SK51AYSVSqGhZeEGRpb8VYp,1.14.2,80,"City Eleusinion at Athens",18-09-165,"{""type"": ""Point"", ""coordinates"": [23.7247805, 37.9728361]}"
ngSZ5E889SZSfSfE1T960BZXWSLHiAfFHSAcfWZE,1.14.3,81,"City Eleusinion at Athens",19-09-165,"{""type"": ""Point"", ""coordinates"": [23.7247805, 37.9728361]}"
ngTA5B980UqTeTgB2TM72CAGXUMIjBgCIUrdeXAB,1.14.4,82,"City Eleusinion at Athens",20-09-165,"{""type"": ""Point"", ""coordinates"": [23.7247805, 37.9728361]}"
ngUB6C081VBUfUhU3Vt8hDBJYVNJkChDJVCefYBU,1.14.5,83,"Temple of Eukleia, Athens",21-09-165,"{""type"": ""Point"", ""coordinates"": [23.726464, 37.971687]}"
ngVC6D182XMViViJ4WO9gECSZWOKlDiEKXNfiZCJ,1.14.6,84,"Temple of Hephaestus, Athens",22-09-165,"{""type"": ""Point"", ""coordinates"": [23.721502000000005, 37.9756065]}"
ngWD6E283XjW3WjA5XP03FDrAXPLmEjFLX2g3ADA,1.14.7,85,"Aphrodite Ourania sanctuary near Athenian agora",23-09-165,"{""type"": ""Point"", ""coordinates"": [23.722503999999997, 37.976359]}"
ngXE6F384XuXkXkX6Yw1hGEsBYQMnFkGMXvhkBEX,1.15.1,86,"Stoa Poikile (Athens)",24-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}"
ngYF6G485YFYlYlo7AR29HFpCZxNoGlHNYGilCFo,1.15.2,87,"Stoa Poikile (Athens)",25-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}"
ngZG6H586AQZlZmt8ZS3mIGEDZSOpHmIOARjlDGt,1.15.3,88,"Stoa Poikile (Athens)",26-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}"
ngAH6I687AnAmAnq9AT4mJHTEBzPqInJPA6kmEHq,1.15.4,89,"Stoa Poikile (Athens)",27-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}"
ngBI6v788BIB9BoP0C850KIGFBUQrJowQBJl9FIP,1.16.1,90,"Stoa Poikile (Athens)",28-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}"
ngCJ6w889CTC9Cps1D96nLJDGDbRsKpxRCUm9GJs,1.16.2,91,"Stoa Poikile (Athens)",29-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}"
ngDK6x980DqDnDqZ2FW74MKSHFWStLqySD9nnHKZ,1.16.3,92,"Stoa Poikile (Athens)",30-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}"
ngEL7y081EbEoErW3FX80NLzIGXTuMrzTEcooILW,1.17.1,93,"Agora of Athens",01-10-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}"
ngFM7v182GcF4Fsd4F293OMaJGYUvNswUGdp4JMd,1.17.2,94,"Theseion of Athens",02-10-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}"
ngGN7w283HNG3GtU5IZ06PNTKHZVwOtxVHOq3KNU,1.17.3,95,"Theseion of Athens",03-10-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}"
ngHO7x384JYH5Hub6JQ1rQOALHgWxPuyWJZr5LOb,1.17.4,96,"Theseion of Athens",04-10-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}"
ngIP7y485JvI6IvU7Jh2vRPVMIBXyQvzXJ4s6MPU,1.17.5,97,"Theseion of Athens",05-10-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}"
ngJQ7z586JgJ8Jwz8J63vSQGNLCYzRwaYJht8NQz,1.17.6,98,"Theseion of Athens",06-10-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}"
ngKR7a687KRK9KxS9MT40TRHOLDZaSxbZKSu9ORS,1.18.1,99,"Anakeion at Athens",07-10-165,"{""type"": ""Point"", ""coordinates"": [23.729299999999995, 37.9713]}"
ngLS7b788MCL2LyL0LU57USgPMEAbTycAMDv2PSL,1.18.2,100,"Shrine of Aglauros (Athens)",08-10-165,"{""type"": ""Point"", ""coordinates"": [23.72877, 37.97139]}"
ngMT7c889MzM3MzA1MF62VTdQMlBcUzdBM8w3QTA,1.18.3,101,"Prytanikon at Athens",09-10-165,"{""type"": ""Point"", ""coordinates"": [23.7225, 37.975]}"
