BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
1.1.3,στοᾶς,http://topostext.org/place/380236BLSt,37.94579,23.64254,NULL,"Long Stoa (Piraeus)","built|stoa|Paus|l - opisthen",NULL
1.1.3,"στοᾶς τῆς μακρᾶς",http://topostext.org/place/380236BLSt,37.94579,23.64254,NULL,"Long Stoa (Piraeus)",built|stoa|Paus,NULL
1.1.3,σφισιν,http://pleiades.stoa.org/places/599576,36.686188,27.37404,settlement,"Knidos/Cnidus, Tekir|Cnidus, Burgaz örenyeri|Cnidus|Cnidus",proxy|analogic,NULL
1.1.4,Ἀθηναῖοι,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae",proxy|focaliser,NULL
1.1.4,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae",proxy,1.1.4
1.1.4,αὐτῷ,http://pleiades.stoa.org/places/580071,37.875,23.625,unknown,"Phaleron Limen","built|harbour|Paus|l - pros",NULL
1.1.4,Κόλχους,http://pleiades.stoa.org/places/863770,42.5,42.5,region,Colchis/Lazike,"regional|t - heroic age|f - Athenians",NULL
1.1.4,λιμὴν,http://pleiades.stoa.org/places/580029,37.937560999999995,23.644901333333333,port,"Mounichia Limen",built|limen|synoptic,NULL
1.1.4,Μουνυχίᾳ,http://pleiades.stoa.org/places/116035285,37.9406,23.6559,"hill,fort",Munychia,built|settlement|synoptic,NULL
1.1.4,ναὸς,http://topostext.org/place/379237SMou,37.9356,23.6592,NULL,"Artemis Mounychia (Piraeus)",built|naos|synoptic|Artemis,NULL
1.1.4,"ὁ δὲ",http://pleiades.stoa.org/places/580071,37.875,23.625,unknown,"Phaleron Limen","built|limen|synoptic|f - narrator",NULL
1.1.4,Φαληρῷ,http://pleiades.stoa.org/places/580072,37.9373,23.7062,settlement,"Phaleron, Palio Faliro|Phaleron",built|settlement|synoptic,NULL
1.1.5,ἄγαλμα,http://arachne.dainst.org/entity/3585903,37.894568,23.71577,NULL,"Statue: Aphrodite Kolias  Agios Kosmas (Paus. 1.1.5)","object|agalma|Paus|Aphrodite|l - entautha","statue, Aphrodite Kolias, Kolias cape (tt:379236LKol)"
